Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b_scenario_1,BF-BOF_cap,BF-BOF_g_scenario_1,BF-BOF_cumprofit_scenario_1,BF-BOF_π_scenario_1,BF-BOF_cost_scenario_1,BF-BOF_bank_scenario_1,BF-BOF_netto_emiss_scenario_1,BF-BOF_capacity,BF-BOF-CC_b_scenario_1,BF-BOF-CC_cap,BF-BOF-CC_g_scenario_1,BF-BOF-CC_cumprofit_scenario_1,BF-BOF-CC_π_scenario_1,BF-BOF-CC_cost_scenario_1,BF-BOF-CC_bank_scenario_1,BF-BOF-CC_netto_emiss_scenario_1,BF-BOF-CC_capacity,HDRI-EAF_b_scenario_1,HDRI-EAF_cap,HDRI-EAF_g_scenario_1,HDRI-EAF_cumprofit_scenario_1,HDRI-EAF_π_scenario_1,HDRI-EAF_cost_scenario_1,HDRI-EAF_bank_scenario_1,HDRI-EAF_netto_emiss_scenario_1,HDRI-EAF_capacity,BF-BlendNG-BOF_b_scenario_1,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_scenario_1,BF-BlendNG-BOF_cumprofit_scenario_1,BF-BlendNG-BOF_π_scenario_1,BF-BlendNG-BOF_cost_scenario_1,BF-BlendNG-BOF_bank_scenario_1,BF-BlendNG-BOF_netto_emiss_scenario_1,BF-BlendNG-BOF_capacity,compliance_agent_b_scenario_1,compliance_agent_e_scenario_1,compliance_agent_g_scenario_1,compliance_agent_π_scenario_1,compliance_agent_cost_scenario_1,compliance_agent_π_MAC_scenario_1,compliance_agent_bank_scenario_1,compliance_agent_netto_emiss_scenario_1,NG-DRI-CC_b_scenario_1,NG-DRI-CC_cap,NG-DRI-CC_g_scenario_1,NG-DRI-CC_cumprofit_scenario_1,NG-DRI-CC_π_scenario_1,NG-DRI-CC_cost_scenario_1,NG-DRI-CC_bank_scenario_1,NG-DRI-CC_netto_emiss_scenario_1,NG-DRI-CC_capacity,NGDRI-EAF_b_scenario_1,NGDRI-EAF_cap,NGDRI-EAF_g_scenario_1,NGDRI-EAF_cumprofit_scenario_1,NGDRI-EAF_π_scenario_1,NGDRI-EAF_cost_scenario_1,NGDRI-EAF_bank_scenario_1,NGDRI-EAF_netto_emiss_scenario_1,NGDRI-EAF_capacity,financial_agent_b_scenario_1,financial_agent_g_scenario_1,financial_agent_π_scenario_1,financial_agent_bank_scenario_1,financial_agent_netto_emiss_scenario_1,financial_agent_cumprofit_scenario_1
2024,57.5359,360.9665,181.956,0.0,107.0329,25.9605,25.9605,149960.5258,0.0,181.956,10000.0,0.0,0.0,0.0,0.0,0.0,390786.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581.1684,1581.1684,0.0,5350.6705,5350.6705,5350.6705,0.0,1581.1684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-377.3052,0.0,-20288.393,734.4314,0.0,-20288.393
2025,78.6857,402.3839,181.9227,0.0,107.0134,32.0513,6.0908,149960.5258,0.0,181.9227,10000.0,0.0,0.0,0.0,0.0,0.0,390786.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1508.3196,1508.3196,0.0,9336.1991,9336.1991,9336.1991,0.0,1508.3196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.4734,0.0,-2094.3513,703.958,0.0,-22382.7443
2026,100.1617,444.4139,181.8824,0.0,106.9897,24.8835,-7.1678,149960.5258,0.0,181.8824,10000.0,0.0,0.0,0.0,0.0,0.0,390786.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1434.2443,1434.2443,0.0,14132.1554,14132.1554,14132.1554,0.0,1434.2443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.33,0.0,-2806.8848,669.6279,0.0,-25189.629
2027,121.9088,486.853,181.8748,0.0,106.9852,19.1803,-5.7032,149960.5258,0.0,181.8748,10000.0,0.0,0.0,0.0,0.0,0.0,390786.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.1234,1359.1234,0.0,19570.2117,19570.2117,19570.2117,0.0,1359.1234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.2883,0.0,-3467.9437,632.3397,0.0,-28657.5727
2028,143.9406,529.86,181.9146,0.0,107.0086,16.7294,-2.4509,149960.5258,0.0,181.9146,10000.0,0.0,0.0,0.0,0.0,0.0,390786.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.1127,1283.1127,0.0,25492.8165,25492.8165,25492.8165,0.0,1283.1127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.275,0.0,-4235.9527,591.0647,0.0,-32893.5254
2029,166.0992,573.1807,181.8901,0.0,106.9942,18.1143,1.3848,149960.5258,0.0,181.8901,10000.0,0.0,0.0,0.0,0.0,0.0,390786.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.467,1206.467,0.0,31742.0568,31742.0568,31742.0568,0.0,1206.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.5226,0.0,-4927.7179,546.5421,0.0,-37821.2433
2030,171.4229,588.0019,85.1943,0.0,50.1143,20.1462,2.0319,149960.5258,0.0,85.1943,10000.0,29.0138,56.8898,56.8898,6389.369,6389.369,390786.8162,0.0,29.0138,56.8898,0.0,0.0,0.0,0.0,0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0917,1188.0917,0.0,31596.8215,31596.8215,31596.8215,0.0,1188.0917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.3847,0.0,-4097.7053,508.1574,0.0,-41918.9487
2031,178.4646,603.4676,0.0,0.0,0.0,20.1462,0.0,149960.5258,0.0,0.0,10000.0,54.5542,50.0793,106.9691,11083.7484,4694.3794,390786.8162,0.0,54.5542,106.9691,0.0,0.0,0.0,0.0,0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.8247,1163.8247,0.0,32000.6843,32000.6843,32000.6843,0.0,1163.8247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.3598,0.0,-3568.8844,473.7976,0.0,-45487.8331
2032,199.8504,620.8849,0.0,0.0,0.0,20.1462,0.0,149960.5258,0.0,0.0,10000.0,54.5542,0.0,106.9691,9665.6804,-1418.068,390786.8162,0.0,54.5542,106.9691,0.0,0.0,0.0,0.0,-0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.2431,1089.2431,0.0,37585.2538,37585.2538,37585.2538,0.0,1089.2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.5547,0.0,-4299.8109,434.2428,0.0,-49787.644
2033,222.0209,650.8681,0.0,0.0,0.0,20.1462,0.0,149960.5258,0.0,0.0,10000.0,54.5542,0.0,106.9691,7862.7017,-1802.9787,390786.8162,0.0,54.5542,106.9691,0.0,0.0,0.0,0.0,-0.0,276830.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.6971,1013.6971,0.0,43229.8945,43229.8945,43229.8945,0.0,1013.6971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.5717,0.0,-4917.6892,390.6711,0.0,-54705.3332
