scenario,year,liquidity_factor,total_mac_mean,total_mac_min,total_mac_max,total_mac_q1,total_mac_q3,percentage_change_mac,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,index
2,2025,30.0,38813.682552,12545.2229,77980.6868,23134.614275,52134.372475,0.0,94.5461,94.5461,94.5461,94.5461,94.5461,1.0,1.0,1.0,1.0,1.0,1.0
3,2025,1.2,38959.646882,12545.2229,77954.3545,19156.469250000002,55431.8107,0.3760641103931563,76.3346,76.3346,76.3346,76.3346,76.3346,1.0,1.0,1.0,1.0,1.0,2.0
4,2025,1.1,38986.167420000005,12147.7617,77979.1022,19156.469250000002,55570.867025,0.4443919171259337,74.1856,74.1856,74.1856,74.1856,74.1856,1.0,1.0,1.0,1.0,1.0,3.0
5,2025,1.0,39016.983974,11073.9617,77954.3545,19156.469250000002,55853.046875,0.5237880268836494,71.7421,71.7421,71.7421,71.7421,71.7421,1.0,1.0,1.0,1.0,1.0,4.0
6,2025,0.9,39052.321054,10257.5088,77954.3545,19156.469250000002,56292.99335,0.614830869707582,68.938,68.938,68.938,68.938,68.938,1.0,1.0,1.0,1.0,1.0,5.0
7,2025,0.8,39092.866796,9327.032,77954.3545,19156.469250000002,56717.130575,0.7192933667810858,65.7857,65.7857,65.7857,65.7857,65.7857,1.0,1.0,1.0,1.0,1.0,6.0
8,2025,0.7,39140.488252,8147.1276,77954.3545,19156.469250000002,57040.766525,0.8419858114781348,61.9401,61.9401,61.9401,61.9401,61.9401,1.0,1.0,1.0,1.0,1.0,7.0
9,2025,0.6,39195.881636000006,7001.6829,77954.3545,19156.469250000002,57501.6149,0.9847019372304139,57.5129,57.5129,57.5129,57.5129,57.5129,1.0,1.0,1.0,1.0,1.0,8.0
10,2025,0.5,39282.870839999996,4990.8468,77954.3541,19156.469250000002,57969.539975,1.2088218822612624,53.9449,53.9449,53.9449,53.9449,53.9449,1.0,1.0,1.0,1.0,1.0,9.0
11,2025,0.4,39342.526694,4175.343,77954.3545,19309.734825,58437.62915,1.3625198827539526,45.414,45.414,45.414,45.414,45.414,1.0,1.0,1.0,1.0,1.0,10.0
2,2035,30.0,38813.682552,12545.2229,77980.6868,23134.614275,52134.372475,0.0,185.7824,185.7824,185.7824,185.7824,185.7824,1.0,1.0,1.0,1.0,1.0,11.0
3,2035,1.2,38959.646882,12545.2229,77954.3545,19156.469250000002,55431.8107,0.3760641103931563,196.5726,196.5726,196.5726,196.5726,196.5726,1.0,1.0,1.0,1.0,1.0,12.0
4,2035,1.1,38986.167420000005,12147.7617,77979.1022,19156.469250000002,55570.867025,0.4443919171259337,197.3707,197.3707,197.3707,197.3707,197.3707,1.0,1.0,1.0,1.0,1.0,13.0
5,2035,1.0,39016.983974,11073.9617,77954.3545,19156.469250000002,55853.046875,0.5237880268836494,198.5393,198.5393,198.5393,198.5393,198.5393,1.0,1.0,1.0,1.0,1.0,14.0
6,2035,0.9,39052.321054,10257.5088,77954.3545,19156.469250000002,56292.99335,0.614830869707582,199.5236,199.5236,199.5236,199.5236,199.5236,1.0,1.0,1.0,1.0,1.0,15.0
7,2035,0.8,39092.866796,9327.032,77954.3545,19156.469250000002,56717.130575,0.7192933667810858,200.5166,200.5166,200.5166,200.5166,200.5166,1.0,1.0,1.0,1.0,1.0,16.0
8,2035,0.7,39140.488252,8147.1276,77954.3545,19156.469250000002,57040.766525,0.8419858114781348,201.524,201.524,201.524,201.524,201.524,1.0,1.0,1.0,1.0,1.0,17.0
9,2035,0.6,39195.881636000006,7001.6829,77954.3545,19156.469250000002,57501.6149,0.9847019372304139,202.6134,202.6134,202.6134,202.6134,202.6134,1.0,1.0,1.0,1.0,1.0,18.0
10,2035,0.5,39282.870839999996,4990.8468,77954.3541,19156.469250000002,57969.539975,1.2088218822612624,203.6479,203.6479,203.6479,203.6479,203.6479,1.0,1.0,1.0,1.0,1.0,19.0
11,2035,0.4,39342.526694,4175.343,77954.3545,19309.734825,58437.62915,1.3625198827539526,204.7616,204.7616,204.7616,204.7616,204.7616,1.0,1.0,1.0,1.0,1.0,20.0
