scenario,year,liquidity_factor,total_mac_mean,total_mac_min,total_mac_max,total_mac_q1,total_mac_q3,percentage_change_mac,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,index
2,2025,30.0,38862.614012000005,12347.2098,77954.3545,21644.662375,54076.8607,0.12606755345734572,78.8408,78.8408,78.8408,78.8408,78.8408,1.0,1.0,1.0,1.0,1.0,1.0
3,2025,1.2,38960.984828,12132.6816,77954.3545,19156.469250000002,55409.97105,0.37951120923054993,76.5781,76.5781,76.5781,76.5781,76.5781,1.0,1.0,1.0,1.0,1.0,2.0
4,2025,1.1,38986.943664,12054.0906,77954.3545,19156.469250000002,55529.623325,0.44639184073264987,74.2788,74.2788,74.2788,74.2788,74.2788,1.0,1.0,1.0,1.0,1.0,3.0
5,2025,1.0,39017.76500000001,11230.7225,77954.3545,19156.469250000002,55819.92815,0.5258002708879586,71.6592,71.6592,71.6592,71.6592,71.6592,1.0,1.0,1.0,1.0,1.0,4.0
6,2025,0.9,39053.08721,10371.2978,77954.3545,19156.469250000002,56235.4706,0.6168048024797982,68.8757,68.8757,68.8757,68.8757,68.8757,1.0,1.0,1.0,1.0,1.0,5.0
7,2025,0.8,39093.906704,9399.979,77954.3545,19156.469250000002,56645.587700000004,0.7219725972267041,65.717,65.717,65.717,65.717,65.717,1.0,1.0,1.0,1.0,1.0,6.0
8,2025,0.7,39141.920144,8230.579,77954.3545,19156.469250000002,57050.647475000005,0.8456749538265378,61.8625,61.8625,61.8625,61.8625,61.8625,1.0,1.0,1.0,1.0,1.0,7.0
9,2025,0.6,39196.170728000005,7055.3682,77954.3545,19156.469250000002,57507.544324999995,0.9854467570490738,57.389,57.389,57.389,57.389,57.389,1.0,1.0,1.0,1.0,1.0,8.0
10,2025,0.5,39263.707949999996,5648.1159,77954.3545,19156.469250000002,57977.977249999996,1.159450401020526,51.6973,51.6973,51.6973,51.6973,51.6973,1.0,1.0,1.0,1.0,1.0,9.0
11,2025,0.4,39343.236727999996,4173.1693,77954.5207,19310.363475,58442.736725,1.36434922218611,45.4037,45.4037,45.4037,45.4037,45.4037,1.0,1.0,1.0,1.0,1.0,10.0
2,2035,30.0,38862.614012000005,12347.2098,77954.3545,21644.662375,54076.8607,0.12606755345734572,190.1164,190.1164,190.1164,190.1164,190.1164,1.0,1.0,1.0,1.0,1.0,11.0
3,2035,1.2,38960.984828,12132.6816,77954.3545,19156.469250000002,55409.97105,0.37951120923054993,196.9102,196.9102,196.9102,196.9102,196.9102,1.0,1.0,1.0,1.0,1.0,12.0
4,2035,1.1,38986.943664,12054.0906,77954.3545,19156.469250000002,55529.623325,0.44639184073264987,197.777,197.777,197.777,197.777,197.777,1.0,1.0,1.0,1.0,1.0,13.0
5,2035,1.0,39017.76500000001,11230.7225,77954.3545,19156.469250000002,55819.92815,0.5258002708879586,198.7395,198.7395,198.7395,198.7395,198.7395,1.0,1.0,1.0,1.0,1.0,14.0
6,2035,0.9,39053.08721,10371.2978,77954.3545,19156.469250000002,56235.4706,0.6168048024797982,199.6988,199.6988,199.6988,199.6988,199.6988,1.0,1.0,1.0,1.0,1.0,15.0
7,2035,0.8,39093.906704,9399.979,77954.3545,19156.469250000002,56645.587700000004,0.7219725972267041,200.5824,200.5824,200.5824,200.5824,200.5824,1.0,1.0,1.0,1.0,1.0,16.0
8,2035,0.7,39141.920144,8230.579,77954.3545,19156.469250000002,57050.647475000005,0.8456749538265378,201.6719,201.6719,201.6719,201.6719,201.6719,1.0,1.0,1.0,1.0,1.0,17.0
9,2035,0.6,39196.170728000005,7055.3682,77954.3545,19156.469250000002,57507.544324999995,0.9854467570490738,202.7106,202.7106,202.7106,202.7106,202.7106,1.0,1.0,1.0,1.0,1.0,18.0
10,2035,0.5,39263.707949999996,5648.1159,77954.3545,19156.469250000002,57977.977249999996,1.159450401020526,203.8651,203.8651,203.8651,203.8651,203.8651,1.0,1.0,1.0,1.0,1.0,19.0
11,2035,0.4,39343.236727999996,4173.1693,77954.5207,19310.363475,58442.736725,1.36434922218611,204.7278,204.7278,204.7278,204.7278,204.7278,1.0,1.0,1.0,1.0,1.0,20.0
