scenario,year,horizon_ets,total_mac_mean,total_mac_min,total_mac_max,total_mac_q1,total_mac_q3,percentage_change_mac,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,index
12,2025,50,38813.682552,12545.2229,77980.6868,23134.614275,52134.372475,0.0,94.5461,94.5461,94.5461,94.5461,94.5461,1.0,1.0,1.0,1.0,1.0,1.0
13,2025,25,38815.667354000005,12545.2229,77954.3545,23102.1918,52198.565575,0.005113665773267469,94.3156,94.3156,94.3156,94.3156,94.3156,1.0,1.0,1.0,1.0,1.0,2.0
14,2025,15,38817.693748000005,12545.2229,77954.3545,22757.7612,52479.19885,0.010334489634248989,90.7954,90.7954,90.7954,90.7954,90.7954,1.0,1.0,1.0,1.0,1.0,3.0
15,2025,10,38862.614012000005,12347.2098,77954.3545,21644.662375,54076.8607,0.12606755345734572,78.8408,78.8408,78.8408,78.8408,78.8408,1.0,1.0,1.0,1.0,1.0,4.0
16,2025,8,38930.194418,9288.9022,77954.3545,20497.422100000003,54938.253925,0.3001824571628983,70.5163,70.5163,70.5163,70.5163,70.5163,1.0,1.0,1.0,1.0,1.0,5.0
17,2025,7,38985.609746,7498.4538,77954.3545,20497.422100000003,55254.726575,0.4429551196789092,65.2579,65.2579,65.2579,65.2579,65.2579,1.0,1.0,1.0,1.0,1.0,6.0
18,2025,6,39067.697933999996,5654.522,77954.3545,20497.422100000003,55658.665324999994,0.6544480330091967,59.1288,59.1288,59.1288,59.1288,59.1288,1.0,1.0,1.0,1.0,1.0,7.0
19,2025,5,39188.79304800001,3727.7368,78056.3571,20333.520925000004,56944.700525,0.9664388208912159,51.8513,51.8513,51.8513,51.8513,51.8513,1.0,1.0,1.0,1.0,1.0,8.0
20,2025,4,39349.398208000006,1741.1433,77954.3545,20263.334675000002,58330.358575000006,1.3802237272443583,43.2054,43.2054,43.2054,43.2054,43.2054,1.0,1.0,1.0,1.0,1.0,9.0
21,2025,3,39577.158952,208.0257,78049.152,20397.942525000002,58949.126424999995,1.967029021214734,32.9404,32.9404,32.9404,32.9404,32.9404,1.0,1.0,1.0,1.0,1.0,10.0
12,2035,50,38813.682552,12545.2229,77980.6868,23134.614275,52134.372475,0.0,185.7824,185.7824,185.7824,185.7824,185.7824,1.0,1.0,1.0,1.0,1.0,11.0
13,2035,25,38815.667354000005,12545.2229,77954.3545,23102.1918,52198.565575,0.005113665773267469,185.7299,185.7299,185.7299,185.7299,185.7299,1.0,1.0,1.0,1.0,1.0,12.0
14,2035,15,38817.693748000005,12545.2229,77954.3545,22757.7612,52479.19885,0.010334489634248989,186.6363,186.6363,186.6363,186.6363,186.6363,1.0,1.0,1.0,1.0,1.0,13.0
15,2035,10,38862.614012000005,12347.2098,77954.3545,21644.662375,54076.8607,0.12606755345734572,190.1164,190.1164,190.1164,190.1164,190.1164,1.0,1.0,1.0,1.0,1.0,14.0
16,2035,8,38930.194418,9288.9022,77954.3545,20497.422100000003,54938.253925,0.3001824571628983,193.4911,193.4911,193.4911,193.4911,193.4911,1.0,1.0,1.0,1.0,1.0,15.0
17,2035,7,38985.609746,7498.4538,77954.3545,20497.422100000003,55254.726575,0.4429551196789092,195.5629,195.5629,195.5629,195.5629,195.5629,1.0,1.0,1.0,1.0,1.0,16.0
18,2035,6,39067.697933999996,5654.522,77954.3545,20497.422100000003,55658.665324999994,0.6544480330091967,197.6886,197.6886,197.6886,197.6886,197.6886,1.0,1.0,1.0,1.0,1.0,17.0
19,2035,5,39188.79304800001,3727.7368,78056.3571,20333.520925000004,56944.700525,0.9664388208912159,200.7975,200.7975,200.7975,200.7975,200.7975,1.0,1.0,1.0,1.0,1.0,18.0
20,2035,4,39349.398208000006,1741.1433,77954.3545,20263.334675000002,58330.358575000006,1.3802237272443583,204.1088,204.1088,204.1088,204.1088,204.1088,1.0,1.0,1.0,1.0,1.0,19.0
21,2035,3,39577.158952,208.0257,78049.152,20397.942525000002,58949.126424999995,1.967029021214734,207.236,207.236,207.236,207.236,207.236,1.0,1.0,1.0,1.0,1.0,20.0
