scenario,year,horizon_ets,total_mac_mean,total_mac_min,total_mac_max,total_mac_q1,total_mac_q3,percentage_change_mac,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,index
12,2025,50,39016.983974,11073.9617,77954.3545,19156.469250000002,55853.046875,0.5237880268836494,71.7421,71.7421,71.7421,71.7421,71.7421,1.0,1.0,1.0,1.0,1.0,1.0
13,2025,25,39017.63143,11265.5845,77954.3545,19156.469250000002,55803.307175,0.5234561396661234,71.6463,71.6463,71.6463,71.6463,71.6463,1.0,1.0,1.0,1.0,1.0,2.0
14,2025,15,39015.013322,10783.5183,77954.3545,19156.469250000002,55803.5792,0.523710817326521,71.8553,71.8553,71.8553,71.8553,71.8553,1.0,1.0,1.0,1.0,1.0,3.0
15,2025,10,39017.76500000001,11230.7225,77954.3545,19156.469250000002,55819.92815,0.5258002708879586,71.6592,71.6592,71.6592,71.6592,71.6592,1.0,1.0,1.0,1.0,1.0,4.0
16,2025,8,39025.152818,9288.9022,78036.5554,19156.469250000002,55815.965675,0.5448343267008743,70.5163,70.5163,70.5163,70.5163,70.5163,1.0,1.0,1.0,1.0,1.0,5.0
17,2025,7,39035.90595000001,7498.4538,77954.3545,19156.469250000002,55823.603749999995,0.572538814636537,65.2579,65.2579,65.2579,65.2579,65.2579,1.0,1.0,1.0,1.0,1.0,6.0
18,2025,6,39077.148814,5654.522,77954.3545,20458.281825000002,55958.2112,0.6787973845229117,59.1288,59.1288,59.1288,59.1288,59.1288,1.0,1.0,1.0,1.0,1.0,7.0
19,2025,5,39188.79304800001,3727.7368,78056.3571,20333.520925000004,56944.700525,0.9664388208912159,51.8513,51.8513,51.8513,51.8513,51.8513,1.0,1.0,1.0,1.0,1.0,8.0
20,2025,4,39349.398206000005,1741.1433,77954.3545,20263.334675000002,58330.358575000006,1.3802237220915345,43.2054,43.2054,43.2054,43.2054,43.2054,1.0,1.0,1.0,1.0,1.0,9.0
21,2025,3,39577.158952,208.0257,78049.152,20397.942525000002,58949.126424999995,1.967029021214734,32.9404,32.9404,32.9404,32.9404,32.9404,1.0,1.0,1.0,1.0,1.0,10.0
12,2035,50,39016.983974,11073.9617,77954.3545,19156.469250000002,55853.046875,0.5237880268836494,198.5393,198.5393,198.5393,198.5393,198.5393,1.0,1.0,1.0,1.0,1.0,11.0
13,2035,25,39017.63143,11265.5845,77954.3545,19156.469250000002,55803.307175,0.5254561396661234,198.6143,198.6143,198.6143,198.6143,198.6143,1.0,1.0,1.0,1.0,1.0,12.0
14,2035,15,39015.013322,10783.5183,77954.3545,19156.469250000002,55803.5792,0.518710817326521,198.6116,198.6116,198.6116,198.6116,198.6116,1.0,1.0,1.0,1.0,1.0,13.0
15,2035,10,39017.76500000001,11230.7225,77954.3545,19156.469250000002,55819.92815,0.5258002708879586,198.7395,198.7395,198.7395,198.7395,198.7395,1.0,1.0,1.0,1.0,1.0,14.0
16,2035,8,39025.152818,9288.9022,78036.5554,19156.469250000002,55815.965675,0.5448343267008743,198.6788,198.6788,198.6788,198.6788,198.6788,1.0,1.0,1.0,1.0,1.0,15.0
17,2035,7,39035.90595000001,7498.4538,77954.3545,19156.469250000002,55823.603749999995,0.572538814636537,198.8573,198.8573,198.8573,198.8573,198.8573,1.0,1.0,1.0,1.0,1.0,16.0
18,2035,6,39077.148814,5654.522,77954.3545,20458.281825000002,55958.2112,0.6787973845229117,198.7856,198.7856,198.7856,198.7856,198.7856,1.0,1.0,1.0,1.0,1.0,17.0
19,2035,5,39188.79304800001,3727.7368,78056.3571,20333.520925000004,56944.700525,0.9664388208912159,200.7975,200.7975,200.7975,200.7975,200.7975,1.0,1.0,1.0,1.0,1.0,18.0
20,2035,4,39349.398206000005,1741.1433,77954.3545,20263.334675000002,58330.358575000006,1.3802237220915345,204.1088,204.1088,204.1088,204.1088,204.1088,1.0,1.0,1.0,1.0,1.0,19.0
21,2035,3,39577.158952,208.0257,78049.152,20397.942525000002,58949.126424999995,1.967029021214734,207.236,207.236,207.236,207.236,207.236,1.0,1.0,1.0,1.0,1.0,20.0
