Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,trader_b,trader_g,trader_bank,trader_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,106.6059,362.5398,216.4919,0.0,107.4278,17.7506,198.7413,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,-60.0914,0.0,-60.0914,0.0,0.0,0.0,0.0,0.0,0.0,1229.6583,0.0,337.1494,892.5089
2025,114.1143,379.6956,181.4776,0.0,106.8618,1.5339,197.6943,-0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,-90.5354,0.0,-150.6268,0.0,20.9721,0.0,0.0,20.9721,0.0,1154.7467,0.0,624.6374,867.2587
2026,122.1593,398.5273,118.8732,0.0,65.0849,0.0,120.407,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-89.5121,0.0,-240.139,0.0,69.4864,0.0,42.152,21.3714,69.0871,1108.1898,0.0,891.4388,841.3884
2027,130.7232,417.2007,33.2825,0.0,16.1562,3.3935,29.889,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,-80.7011,0.0,-320.8401,0.0,128.8006,0.0,90.9933,1.0341,149.138,1066.09,0.0,1142.4291,815.0997
2028,139.9392,436.2625,-3.3935,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-88.5226,0.0,-409.3626,0.0,174.6005,0.0,107.1596,0.0,175.6345,1003.7939,0.0,1358.2669,787.9561
2029,149.6375,455.8088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.7669,0.0,-501.1295,0.0,175.2111,0.0,106.9012,0.0,175.2111,942.2617,0.0,1539.6987,760.8299
2030,160.1289,477.3133,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-91.1609,0.0,-592.2905,0.0,175.3399,0.0,106.9798,0.0,175.3399,880.4996,0.0,1687.6295,732.5688
2031,171.3466,500.0484,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-88.2634,0.0,-680.5538,0.0,175.3049,0.0,106.9584,0.0,175.3049,816.6634,0.0,1800.6303,703.6626
2032,183.3394,524.0818,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-83.0969,0.0,-763.6508,0.0,175.373,0.0,107.0,0.0,175.373,750.4248,0.0,1876.9669,674.0882
2033,196.1691,549.5582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.3494,0.0,-839.0002,0.0,175.3165,0.0,106.9655,0.0,175.3165,681.7688,0.0,1914.9251,643.8106
2034,209.9058,576.6636,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-64.9634,0.0,-903.9636,0.0,175.3134,0.0,106.9637,0.0,175.3134,610.4031,0.0,1912.5589,612.7693
2035,224.5936,599.6915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,35.9342,0.0,-868.0294,0.0,0.0,0.0,0.0,0.0,0.0,623.8264,0.0,1955.3781,581.0072
2036,240.3152,624.9857,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,52.2419,0.0,-815.7875,0.0,0.0,0.0,0.0,0.0,0.0,546.5365,0.0,1953.4543,548.4602
2037,257.1373,629.3127,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,71.8255,0.0,-743.9621,0.0,0.0,0.0,0.0,0.0,0.0,465.9707,0.0,1904.2998,515.1252
