Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,trader_b_min,trader_b_Q1,trader_b_mean,trader_b_Q3,trader_b_max,trader_g_min,trader_g_Q1,trader_g_mean,trader_g_Q3,trader_g_max,trader_bank_min,trader_bank_Q1,trader_bank_mean,trader_bank_Q3,trader_bank_max,trader_netto_emiss_min,trader_netto_emiss_Q1,trader_netto_emiss_mean,trader_netto_emiss_Q3,trader_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,27.8009,72.1661,107.59864999999999,132.46752500000002,236.452,217.0664,299.13975,364.70265,407.9205,521.0948,0.0,2.5e-5,197.9468,197.95190000000002,206.5448,0.0,0.0,0.0,106.99685,107.0,107.01,0.0,0.0,0.0001,0.0001,8.6101,0.0,0.0,197.9442,197.949975,197.9684,0.0,0.0,0.0,0.0,11.7605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7605,107.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,11.7605,0.0,0.0,0.0,0.0,0.0,-179.017,-90.01035,-48.938199999999995,44.55392500000001,187.5722,0.0,0.0,0.0,0.0,0.0,-179.017,-90.01035,-48.938199999999995,44.55392500000001,187.5722,0.0,0.0,0.0,0.0,0.0,0.0,0.001025,0.0020499999999999997,175.37172500000003,175.3788,0.0,0.0,0.0,0.0,106.999225,107.0035,0.0,0.0001,0.00065,0.001775,11.7608,0.0,0.0,0.0,175.37172500000003,175.3787,964.6581,1143.4960499999997,1237.17585,1300.63545,1534.8368,0.0,0.0,0.0,0.0,0.0,307.3875,341.272825,359.67975,391.395425,448.4934,520.755,752.286625,887.0763999999999,961.80225,1149.8122
2025,29.7655,77.217825,115.1258,141.7402,253.0037,224.0308,311.798725,381.91875,426.93462500000004,552.6685,-0.0006,0.0,197.68115,197.9495,198.1828,0.0,0.0,0.0,106.9969,107.0006,107.1258,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,197.9442,197.951175,198.1828,-4.6487,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2059,0.0,0.0,0.0,0.0,0.0,-4.6486,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,9.206,0.0,0.0,0.0,0.0,0.0,-193.4959,-118.25569999999999,-86.37885,2.555625,159.4595,0.0,0.0,0.0,0.0,0.0,-357.0107,-214.34632499999998,-135.317,47.10955,347.0318,0.0,0.0,0.0,0.0,0.0,-4.645,-0.001575,-0.00039999999999999996,175.37179999999998,175.4014,0.0,0.0,0.0,0.0,106.999275,107.0173,0.0,0.0,0.0,0.0,14.2517,0.0,0.0,0.0,175.371825,175.4014,917.5799,1066.299125,1155.05745,1215.764925,1440.1045,0.0,0.0,0.0,0.0,0.0,567.9501,634.59775,662.5866,726.000175,854.9747,507.8183,731.7139999999999,861.9678,933.931,1112.5743
2026,31.866,82.62299999999999,123.18845,151.66207500000002,270.7139,231.2882,325.17695,400.32715,447.088975,585.4807,-0.0,0.0,121.84295,197.949975,197.9614,0.0,0.0,0.0,65.86115,107.000225,107.004,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,121.84309999999999,197.95045,197.9574,-3.8755,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3304,0.0,0.0,0.0,0.0,0.0,-3.8755,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,5.3304,0.0,0.0,0.0,0.0,0.0,-183.0231,-118.575425,-81.86875,-8.4123,141.5217,0.0,0.0,0.0,0.0,0.0,-521.1972,-341.4398,-223.11059999999998,38.69735,488.5534,0.0,0.0,0.0,0.0,0.0,-3.8754,0.0,0.0001,175.373,175.4161,0.0,0.0,0.0,0.0,107.0,107.0263,0.0,0.0,0.0,0.0001,5.331,0.0,0.0,0.0,175.373,175.4161,879.349,1017.668725,1105.83745,1158.9242,1372.7118,0.0,0.0,0.0,0.0,0.0,808.0617,896.724875,953.7837,1032.818925,1238.4241,494.5896,710.644375,836.2335,905.384825,1074.4347
2027,34.1158,88.40662499999999,131.80975,162.2784,289.6639,238.8975,339.32315,418.52325,468.459425,619.9514,-0.0,0.0,0.0,197.94989999999999,197.9646,0.0,0.0,0.0,0.0,106.99995,107.0079,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,197.94989999999999,197.9646,-3.5457,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7847,0.0,0.0,0.0,0.0,0.0,-3.5457,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,1.7848,0.0,0.0,0.0,0.0,0.0,-166.2287,-113.64095,-85.16784999999999,-18.061725,122.0864,0.0,0.0,0.0,0.0,0.0,-642.7226,-469.397875,-308.2785,20.635599999999997,610.6399,0.0,0.0,0.0,0.0,0.0,-3.5457,0.0,-0.0,175.373,175.56,0.0,0.0,0.0,0.0,107.0,107.1141,0.0,0.0,0.0,0.0001,1.7852,0.0,0.0,0.0,175.373,175.5601,838.2002,967.7203,1057.3116,1100.1906999999999,1302.6875,0.0,0.0,0.0,0.0,0.0,1030.1062,1135.3241,1218.9322499999998,1311.47515,1595.5958,481.0285,689.0640999999999,809.88275,876.147425,1035.3715
2028,36.5243,94.595075,141.03654999999998,173.63787499999998,309.9404,246.8692,354.2872,437.69385,491.127325,656.6156,-0.0,0.0,0.0,197.949975,197.9566,0.0,0.0,0.0,0.0,107.00002500000001,107.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.949975,197.9584,-1.7847,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7848,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.5304,-110.2371,-81.90955,-26.993875,100.5728,0.0,0.0,0.0,0.0,0.0,-785.253,-596.8881749999999,-396.52615000000003,-6.35825,711.2127,0.0,0.0,0.0,0.0,0.0,-1.7852,0.0,-0.0,175.373,175.3789,0.0,0.0,0.0,0.0,107.0,107.0036,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,175.373,175.3789,793.4531,915.668375,999.4996,1038.73875,1229.1544,0.0,0.0,0.0,0.0,0.0,1254.7625,1348.59785,1447.45865,1560.182225,1921.9134,467.1354,666.961225,782.89585,846.2019500000001,995.3623
2029,39.0298,101.216775,150.90915,185.79255,331.6362,255.0304,370.122975,458.0059,515.179525,695.5226,-0.0,0.0,0.0,197.95035000000001,198.1255,0.0,0.0,0.0,0.0,107.000175,107.0948,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,197.95035000000001,198.1255,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.5503,-107.025475,-76.8653,-34.4167,79.8008,0.0,0.0,0.0,0.0,0.0,-912.2215,-701.960325,-485.98335,-40.77495,791.0135,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.373,175.3793,0.0,0.0,0.0,0.0,107.0,107.0038,0.0,0.0,0.0,0.0,3.8967,0.0,0.0,0.0,175.373,175.3793,747.8212,862.10725,939.7266,975.119575,1152.6085,0.0,0.0,0.0,0.0,0.0,1406.5684,1525.929625,1651.78465,1777.966325,2216.2813,453.4533,644.323125,755.25325,815.53125,954.3842
2030,41.7677,108.301925,161.4728,198.79795,354.8507,263.7839,386.88804999999996,479.53305,540.7088,738.0637,-0.0,0.0,0.0,197.9455,197.9575,0.0,0.0,0.0,0.0,106.99754999999999,107.0041,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,197.9455,197.9575,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.8704,-95.72590000000001,-72.59270000000001,-40.2248,62.6703,0.0,0.0,0.0,0.0,0.0,-1020.4043,-805.2647999999999,-574.6011000000001,-80.99974999999999,853.6838,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0,175.373,175.3797,0.0,0.0,0.0,0.0,107.0,107.0041,0.0,0.0,0.0,0.0,11.2926,0.0,0.0,0.0,175.373,175.3797,704.0907,806.931325,877.9032,909.1814999999999,1072.8387,0.0,0.0,0.0,0.0,0.0,1559.1955,1690.538125,1822.7759,1963.7608,2481.3517,439.0203,621.1367750000001,726.94125,784.1179,912.4138
2031,44.6948,115.88307499999999,172.7759,212.7129,379.6903,272.9477,404.64362500000004,502.3564,567.806,782.6738,-0.0,0.0,0.0,197.9452,197.958,0.0,0.0,0.0,0.0,106.997425,107.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9452,197.958,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.608125,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.2431,-85.6523,-57.07155,-37.3565,46.3931,0.0,0.0,0.0,0.0,0.0,-1106.3518,-882.6551000000001,-660.1860999999999,-125.30484999999999,900.0769,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,175.370175,175.3799,0.0,0.0,0.0,0.0,106.998275,107.0042,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,175.370175,175.3799,659.3514,750.02735,813.88665,884.69475,989.6196,0.0,0.0,0.0,0.0,0.0,1684.7482,1801.0464500000003,1968.372,2116.399125,2716.4558,424.2474,597.3890250000001,697.9437,751.946825,869.427
2032,47.8234,123.99485,184.87025,227.6038,406.2686,282.5411,423.455775,526.5625500000001,587.4581000000001,829.6885,-0.0,0.0,0.0,197.94417499999997,197.9808,0.0,0.0,0.0,0.0,106.996825,107.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.94417499999997,197.9808,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.5748,-63.679849999999995,-48.01415,-31.437749999999998,31.1175,0.0,0.0,0.0,0.0,0.0,-1166.3733,-916.72315,-740.3915999999999,-171.8401,931.1944,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.370525,175.3804,0.0,0.0,0.0,0.0,106.99844999999999,107.0045,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,175.37045,175.3804,613.6214,691.27585,747.5233499999999,857.3752499999999,902.7095,0.0,0.0,0.0,0.0,0.0,1782.8383,1897.919075,2066.91715,2234.60885,2920.9364,409.1407,573.066125,668.2438999999999,718.990425,825.3992
2033,51.1708,132.67045,197.81115,243.536125,434.7074,292.6138,443.363,552.24395,606.20695,880.7654,-0.0,0.0,0.0,197.94355000000002,197.9994,0.0,0.0,0.0,0.0,106.996475,107.0267,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,197.94355000000002,197.9994,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.6687,-50.73975,-38.88395,-16.8039,16.9174,0.0,0.0,0.0,0.0,0.0,-1196.5195,-926.626325,-812.7067,-218.597425,948.1118,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.367625,175.3809,0.0,0.0,0.0,0.0,106.996725,107.0048,0.0,0.0,0.0,0.0,8.2585,0.0,0.0,0.0,175.367625,175.3809,566.8352,628.9313999999999,678.6491000000001,783.4603500000001,811.9796,0.0,0.0,0.0,0.0,0.0,1853.3669,1948.9964750000001,2113.2406,2317.0126999999998,3094.1009,393.6707,548.172025,637.82485,685.23915,780.3052
