Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_a_min,fringe_a_Q1,fringe_a_mean,fringe_a_Q3,fringe_a_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,29.2079,70.6493,90.4724,105.117175,134.4825,219.6674,296.33405,333.0066,360.09950000000003,411.223,0.0,197.95,197.95,197.95087499999997,197.9537,0.0,0.0,107.0,107.0,107.00047500000001,107.002,-0.0,0.0,0.0,0.0,0.0,0.0,197.95,197.95,197.95087499999997,197.9537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.373,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.373,108.1772,261.66409999999996,335.08295,389.32287499999995,498.0832,1188.0456,1188.048925,1188.05,1188.05,1210.627,0.0,0.0,0.0,0.0,0.0,734.5032,939.69405,1091.83115,1223.868625,1464.7917,834.9936,1075.91725,1207.95545,1360.092525,1587.8604
2025,31.2524,75.594775,99.9894,129.64905000000002,200.8264,226.7624,308.79577500000005,353.9258,407.11719999999997,523.7769,0.0,0.0,197.95,197.950275,197.9532,0.0,0.0,0.0,107.0,107.0001,107.0017,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.95,197.950275,197.9532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7356,0.0,0.0,0.0,0.0,4.9204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.05192499999998,175.3785,0.0,0.0,0.0,0.0,103.75345000000002,107.0034,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.05192499999998,175.3785,115.7496,279.9806,370.33124999999995,480.181625,743.8015,1068.8501,1068.8537,1068.854,1091.429425,1099.4955,0.0,0.0,0.0,0.0,0.0,491.8566,761.8912,987.9780499999999,1235.121625,1706.2237,827.4212,1057.6008,1172.7071,1269.233775,1342.142
2026,33.4401,80.88647499999999,113.13845,157.438175,216.7382,234.1885,321.96427500000004,381.63035,456.55605,545.1329,0.0,0.0,197.94805000000002,197.95,197.9511,0.0,0.0,0.0,106.99895000000001,107.0,107.0006,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,197.94805000000002,197.95,197.9511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2642,0.0,0.0,0.0,0.0,106.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.37272499999997,176.1175,0.0,0.0,0.0,0.0,106.99985,107.4543,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.37272499999997,176.1175,123.852,299.57925,419.0312,583.10445,802.7341,1009.2546,1009.256,1009.2583500000001,1031.83295,1207.206,0.0,0.0,0.0,0.0,0.0,415.8532,627.4132500000001,873.2269,1206.376675,1896.1603,819.3187,1038.002175,1124.00715,1166.310975,1283.2094
2027,35.7809,87.016325,128.26275,173.69925,231.9099,241.9654,336.75075000000004,412.86865,487.17835,554.7157,0.0,0.0,62.73225,197.949475,197.9507,0.0,0.0,0.0,33.90935,106.9997,107.0004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.73225,197.949475,197.9507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2849,175.37267500000002,175.498,0.0,0.0,0.0,17.86755,106.999775,107.0763,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2849,175.37267500000002,175.498,132.5217,322.283,475.06945,643.33035,858.9255,949.6572,949.658625,964.95465,972.235,1147.608,0.0,0.0,0.0,0.0,0.0,248.4273,493.5626,770.2126499999999,1140.7374,2035.1688,810.6491,1015.298425,1067.9688999999998,1105.85925,1227.018
2028,38.2855,95.239125,145.7132,185.8581,248.1436,250.1144,355.47845,445.35875,511.156275,586.0696,0.0,0.0,0.0,197.94985,197.9514,0.0,0.0,0.0,0.0,106.99987499999999,107.0007,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.94985,197.9514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3475,175.37265000000002,175.476,0.0,0.0,0.0,106.98445000000001,106.999775,107.0628,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3475,175.37265000000002,175.476,141.7982,352.737875,539.67345,688.363475,919.0503,888.6716,888.6741749999999,911.2326,911.2518749999999,1086.624,0.0,0.0,0.0,0.0,0.0,112.667,343.76219999999995,678.0115,1044.567025,2122.4702,801.3725,984.719975,1002.47055,1060.562275,1166.8932
2029,40.9655,107.033475,165.33769999999998,198.86825,265.5136,258.6581,380.883825,481.65409999999997,536.610675,626.7609,0.0,0.0,0.0,197.948075,197.951,0.0,0.0,0.0,0.0,106.99897499999999,107.0005,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,197.948075,197.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.35825,175.37347499999998,175.4933,0.0,0.0,0.0,106.99095,107.000275,107.0734,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.35825,175.37347499999998,175.4933,151.7241,396.42019999999997,612.3587500000001,736.5489249999999,983.3838,827.6888,827.69235,850.264,850.2674750000001,1025.6419,0.0,0.0,0.0,0.0,0.0,23.2693,181.5322,597.5436,931.094925,2158.7139,791.4467,933.9121,941.6750999999999,1011.55445,1102.5597
2030,43.8331,121.848525,177.52589999999998,212.7889,284.0996,267.6206,411.56422499999996,505.84385,563.639825,667.8469,0.0,0.0,0.0,148.46115,197.9514,0.0,0.0,0.0,0.0,80.24924999999999,107.0008,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,148.46115,197.9514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3519,175.3732,175.5097,0.0,0.0,0.0,106.9871,107.0001,107.0834,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3519,175.3732,175.5097,162.3448,451.290825,657.5027,788.107325,1052.2207,766.7043,772.3059000000001,789.2825,789.301225,964.658,0.0,0.0,0.0,0.0,0.0,0.0,110.48294999999999,501.2818,817.15465,2144.5948,780.826,876.110825,891.0834,959.1160749999999,1033.7734
2031,46.9014,140.07222499999997,189.95265,227.6842,303.9866,277.0275,448.16267500000004,530.5088000000001,590.601675,709.2796,0.0,0.0,0.0,148.4403,197.9508,0.0,0.0,0.0,0.0,80.238,107.0004,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,148.4403,197.9508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9998,106.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3733,175.3953,0.0,0.0,0.0,0.0,107.0002,107.0136,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3733,175.3953,173.7089,518.78285,703.5279,843.2749,1125.8761,705.7211,711.3877500000001,728.29845,903.671,903.6742,0.0,0.0,0.0,0.0,0.0,0.0,36.728950000000005,390.06005,709.752775,2080.8562,769.4619,822.69795,843.1621,903.7072249999999,960.2819
2032,50.1845,157.967525,203.24939999999998,243.62212499999998,325.2656,286.9064,482.4601,556.68575,611.885675,751.6458,0.0,0.0,0.0,0.0,197.9507,0.0,0.0,0.0,0.0,0.0,107.0004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9998,106.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.55775,175.3736,175.4067,0.0,0.0,0.0,37.55815,107.0004,107.0206,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.55775,175.3736,175.4067,185.8685,585.076575,752.7748,902.30415,1204.6875,644.7372,667.29275,667.3142,842.688,842.6903,0.0,0.0,0.0,0.0,0.0,0.0,10.164674999999999,267.101,624.5163,1968.2934,744.2991,764.014825,792.12105,843.7194999999999,881.646
2033,54.5462,175.93942499999997,217.4768,260.675625,348.0342,298.8568,516.398225,584.4757500000001,634.325475,795.0134,0.0,0.0,0.0,0.0,197.9508,0.0,0.0,0.0,0.0,0.0,107.0004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9998,106.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.90385,175.37345,175.4452,0.0,0.0,0.0,6.65275,107.000275,107.044,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.90385,175.37345,175.4452,202.0232,651.6223,805.46905,965.465375,1289.0156,583.7531,606.307675,606.3311,781.704,781.7065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.8508,544.8534999999999,1810.9012,681.9087,712.9612,741.40825,781.704,797.5056
