Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,103.3408,356.7458,219.3527,0.0,106.9947,21.4125,197.9402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.932,0.0,283.4197,883.5123
2025,110.5353,373.6269,189.6385,0.0,106.9895,13.1204,197.9307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.659,0.0,0.0,8.659,0.0,1068.5042,0.0,492.9239,859.0
2026,118.3465,391.8924,156.1688,0.0,91.5077,0.0,169.2892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7744,0.0,15.5004,28.0283,25.4051,1006.2604,0.0,665.7258,833.4585
2027,126.6023,409.9657,91.5683,0.0,49.4964,0.0,91.5683,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,90.7773,0.0,57.5623,24.4609,94.3447,965.2146,0.0,823.1982,807.7422
2028,135.4063,429.0341,14.4365,0.0,7.8035,0.0,14.4365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.5748,0.0,99.269,6.3337,162.702,927.5483,0.0,969.2178,781.5286
2029,145.0863,448.6424,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.1291,0.0,107.0548,0.0,175.4628,856.4554,0.0,1072.0236,753.6496
2030,155.1546,469.2486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0214,0.0,106.7855,0.0,175.0214,789.7517,0.0,1135.5169,726.2584
2031,165.9898,491.2554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.2408,0.0,106.9193,0.0,175.2408,728.4738,0.0,1166.0806,697.9101
2032,177.6035,514.6635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3643,0.0,106.9947,0.0,175.3643,667.3247,0.0,1164.5949,668.8104
2033,190.0333,539.5027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3326,0.0,106.9754,0.0,175.3326,606.3826,0.0,1131.9724,639.0051
2034,203.3471,565.9103,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3179,0.0,106.9664,0.0,175.3179,545.4188,0.0,1068.9589,608.4323
2035,217.5799,593.8891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.4654,0.0,107.0564,0.0,175.4654,484.2379,0.0,976.0459,577.151
2036,232.8422,623.7201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.4232,0.0,107.0306,0.0,175.4232,423.312,0.0,854.331,545.0269
2037,249.0898,644.3478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.7541,0.0,879.7274,512.3577
2038,266.5261,662.3604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.7691,0.0,877.7428,478.7537
2039,285.1829,691.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.7841,0.0,849.1909,444.336
2040,305.1457,725.5259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.799,0.0,794.9051,409.0848
2041,326.5059,763.5235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.8138,0.0,715.7389,372.9799
2042,349.3613,803.9888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.8285,0.0,612.5667,336.0007
2043,373.8166,846.7226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.8431,0.0,486.2839,298.126
2044,399.9838,891.8457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.8577,0.0,337.8075,259.3341
2045,427.9827,940.5551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8721,0.0,168.0768,219.6027
2046,495.6137,997.1225,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,58.558,109.5188
