Y,λ_ets,λ_product,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,trader_b,trader_g,trader_bank,trader_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,106.7266,363.0778,197.9506,0.0,107.0003,0.0,197.9506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.8185,0.0,-50.8185,1562.33,0.0,0.0,0.0,0.0,0.0,1238.8677,0.0,346.9532,891.9145
2025,114.1974,380.2112,197.9503,0.0,107.0002,0.0,197.9503,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-88.1803,0.0,-138.9988,0.0,-0.0,0.0,0.0,0.0,0.0,1157.0339,0.0,637.0902,866.8969
2026,122.1895,398.3642,197.9424,0.0,106.9959,0.0,197.9424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.1817,0.0,-233.1805,0.0,0.0,0.0,0.0,0.0,0.0,1103.4475,0.0,899.2561,841.2816
2027,130.7445,416.7758,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,107.0,0.0,0.0,0.0,-87.2393,0.0,-320.4198,0.0,175.3733,0.0,107.0002,0.0,175.3733,1059.4739,0.0,1143.7006,815.0294
2028,139.8966,435.8261,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-90.4915,0.0,-410.9113,0.0,175.3735,0.0,107.0003,0.0,175.3735,1001.7417,0.0,1357.2928,788.1495
2029,149.6894,456.0072,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.8366,0.0,-502.7479,0.0,175.3736,0.0,107.0003,0.0,175.3736,942.1028,0.0,1538.7767,760.6189
2030,160.1677,477.3944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-91.1416,0.0,-593.8895,0.0,175.3736,0.0,107.0004,0.0,175.3736,880.4237,0.0,1686.7788,732.4216
2031,171.3794,500.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-88.2634,0.0,-682.1528,0.0,175.3736,0.0,107.0004,0.0,175.3736,816.5614,0.0,1799.7988,703.5414
2032,183.376,524.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-83.0493,0.0,-765.2021,0.0,175.3737,0.0,107.0004,0.0,175.3737,750.3633,0.0,1876.2003,673.9618
2033,196.2123,549.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-75.3357,0.0,-840.5378,0.0,175.3737,0.0,107.0005,0.0,175.3737,681.6657,0.0,1914.2,643.666
2034,209.9471,576.6961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.9478,0.0,-905.4857,0.0,175.3738,0.0,107.0005,0.0,175.3738,610.2937,0.0,1911.8572,612.6364
2035,224.6433,599.6915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,35.9887,0.0,-869.4969,0.0,0.0,0.0,0.0,0.0,0.0,623.7472,0.0,1954.7484,580.856
2036,240.3683,624.9857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,52.3002,0.0,-817.1967,0.0,0.0,0.0,0.0,0.0,0.0,546.4517,0.0,1952.8947,548.3054
2037,257.1941,629.3127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,71.8879,0.0,-745.3089,0.0,0.0,0.0,0.0,0.0,0.0,465.88,0.0,1903.8081,514.9666
2038,275.1977,652.0979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,94.9812,0.0,-650.3277,0.0,0.0,0.0,0.0,0.0,0.0,381.8027,0.0,1804.7905,480.8204
2039,294.4616,689.7115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,121.8254,0.0,-528.5023,0.0,0.0,0.0,0.0,0.0,0.0,293.9745,0.0,1652.9177,445.8473
2040,315.0739,728.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,152.6832,0.0,-375.8191,0.0,0.0,0.0,0.0,0.0,0.0,202.1327,0.0,1445.0231,410.0272
2041,337.129,768.6231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,187.8354,0.0,-187.9837,0.0,0.0,0.0,0.0,0.0,0.0,105.9964,0.0,1177.6798,373.3398
2042,360.7281,812.3126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,227.5828,0.0,39.5991,0.0,0.0,0.0,0.0,0.0,0.0,5.265,0.0,847.1809,335.7639
2043,385.979,863.4839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,168.6627,0.0,208.2618,0.0,0.0,0.0,0.0,0.0,0.0,3.2011,0.0,553.1041,297.278
2044,412.9976,914.5513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,73.1384,0.0,281.4002,0.0,0.0,0.0,0.0,0.0,0.0,37.7415,0.0,332.9854,257.8601
2045,441.9074,968.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-25.408,0.0,255.9922,0.0,0.0,0.0,0.0,0.0,0.0,75.3038,0.0,190.8014,217.4877
2046,472.8409,1026.4345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-105.6549,0.0,150.3373,0.0,0.0,0.0,0.0,0.0,0.0,105.6547,0.0,120.3185,176.1376
2047,505.9398,1089.3482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-77.6802,0.0,72.6572,0.0,0.0,0.0,0.0,0.0,0.0,77.6799,0.0,64.2123,133.7861
2048,541.3556,1157.9705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-48.4922,0.0,24.1649,0.0,0.0,0.0,0.0,0.0,0.0,48.492,0.0,22.2952,90.4091
2049,579.2504,1240.2252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-23.8135,0.0,0.3515,0.0,0.0,0.0,0.0,0.0,0.0,23.8132,0.0,0.1269,45.9815
2050,619.798,1277.7998,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-0.3515,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.3512,0.0,0.0,0.4781
2051,632.5081,1282.1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,645.1583,1286.6737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,658.0614,1291.2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,671.2227,1298.2628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,684.6471,1306.5665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2056,698.3401,1315.0363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2057,712.3069,1321.8268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2058,726.553,1326.7331,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
