Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2024,122.7527,392.4735,77.7162,0.0,42.0087,0.0,77.7162,0.1895,0.0,0.0,0.1895,0.0,0.1895,0.0,0.0,0.1895,0.0,133.2176,0.0,64.8528,26.9237,106.2938,1174.7347,0.0,232.6513,942.0834
2025,131.3517,410.8134,33.4597,0.0,12.0981,11.0782,22.3815,-0.1895,0.0,0.0,0.0,0.0,-0.1895,106.9997,0.0,0.0,0.0,142.2835,0.0,94.7993,13.8311,155.3761,1091.4817,0.0,408.9109,915.2221
2026,140.5931,429.7817,16.6583,0.0,0.0,27.7366,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,161.1918,0.0,106.7864,0.0,175.0229,1029.3967,0.0,550.7608,887.5468
2027,150.2941,448.9382,3.0753,0.0,0.0,30.8119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.1096,0.0,107.4494,0.0,176.1096,968.355,0.0,659.2079,859.9079
2028,160.8152,469.9596,-3.3189,0.0,0.0,27.4929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.5692,0.0,106.9061,0.3501,175.219,914.4277,0.0,742.5015,831.134
2029,172.1795,492.7812,-8.5278,0.0,0.0,18.9652,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,174.9167,0.0,106.9352,0.0,175.2669,859.3094,0.0,800.5822,801.2287
2030,184.336,516.9974,-11.7173,0.0,0.0,7.2479,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,175.4227,0.0,107.0303,0.0,175.4227,800.9716,0.0,830.9412,770.6126
2031,197.2846,542.3303,-7.2479,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,174.9501,0.0,106.742,0.0,174.9501,736.0668,0.0,827.5028,739.5051
2032,210.8515,564.6802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9997,0.0,0.0,0.074,0.0,0.0,0.074,0.0,842.5695,0.0,961.5771,708.4953
2033,225.7154,591.8055,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,106.9997,0.0,0.0,-0.074,0.0,0.0,0.0,0.0,781.7287,0.0,1067.6152,675.6905
2034,241.4074,602.0996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.7317,0.0,1145.6038,642.7432
