Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_a_min,fringe_a_Q1,fringe_a_mean,fringe_a_Q3,fringe_a_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,59.1256,101.7083,121.44035,163.691375,200.934,275.0042,353.77015000000006,389.87919999999997,459.09594999999996,516.0269,0.0,0.0,46.253,197.99427500000002,203.2367,0.0,0.0,0.0,22.8747,107.00107500000001,107.0912,0.0,0.0,0.0009,0.34062499999999996,7.866,0.0,0.0,42.3182,197.95194999999998,198.1188,0.0,0.0,0.0,4.85825,30.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85825,30.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85825,30.102,107.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,4.85825,30.102,0.0,0.0,0.0,0.0,0.0,0.0,8.752525,114.9065,175.372275,175.4153,0.0,0.0,0.0,59.4311,106.9995,107.0258,0.0,0.0001,2.3248499999999996,8.893575,43.442,0.0,0.0,97.40755,175.37217499999997,175.4153,219.4802,376.86317499999996,449.90265,606.2650249999999,744.2,1092.4678,1169.1837,1193.455,1210.6269,1386.0,0.0,0.0,0.0,0.0,0.0,892.4398,1018.1473,1145.46605,1219.4828000000002,1415.9516,788.2527,1065.71275,1158.80565,1327.218525,1455.0012
2025,63.3117,108.90415,130.00965,175.15015000000002,214.9994,286.0823,370.39355,407.73795,481.69404999999995,534.4202,-7.866,0.0,-0.0,196.671775,198.3694,0.0,0.0,0.0,0.0,106.99565,107.0982,0.0,0.0,0.0,0.0,10.3281,0.0,0.0,0.0,197.94195,198.1316,-6.254,-3.22205,-0.0,0.0,7.7188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8208,0.0,0.0,0.0,0.0,0.0,-6.254,-3.2221249999999997,-0.0,0.0,7.7188,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,37.8209,0.0,0.0,0.0,0.0,0.0,-6.2525,-1.27795,135.3592,175.373225,175.5225,0.0,0.0,0.0,106.92345,107.0005,107.0913,0.0,0.0,0.0,0.122525,37.821,0.0,0.0,175.24755,175.37382499999998,175.5227,234.8438,403.24354999999997,481.39585,648.7036,796.294,1050.5127,1084.8966,1091.42945,1093.383525,1266.804,0.0,0.0,0.0,0.0,0.0,666.8496,846.0429499999999,1121.75655,1263.5677,1693.5752,772.8891,1039.332375,1127.31245,1284.7799499999999,1402.9072
2026,67.7941,116.49822499999999,139.07434999999998,187.4105,230.0493,297.7779,387.88570000000004,426.4551,505.68062499999996,556.078,-10.3281,0.0,0.0,197.84095000000002,198.2282,0.0,0.0,0.0,0.0,106.961275,107.1504,0.0,0.0,0.0,0.0,1.0458,0.0,0.0,0.0,197.8784,198.2282,-5.9158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5105,0.0,0.0,0.0,0.0,0.0,-5.9158,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,36.5106,0.0,0.0,0.0,0.0,0.0,-5.9158,0.0,165.22365,175.373,175.5742,0.0,0.0,0.0,106.99685,107.0,107.1228,0.0,0.0,0.0,0.0,36.5107,0.0,0.0,175.3679,175.373,175.5743,251.2829,431.47065,515.09355,694.1129000000001,852.0346,991.0216,1017.57935,1031.833,1031.834975,1207.206,0.0,0.0,0.0,0.0,0.0,493.7262,687.0586000000001,1061.0464,1261.339575,1950.9924,756.45,1011.1052750000001,1093.6147,1239.370725,1347.1666
2027,72.5873,124.631225,148.8107,200.5292,246.1528,310.0703,406.366325,446.38599999999997,531.152575,578.8136,-1.0458,0.0,0.0,181.841275,197.9907,0.0,0.0,0.0,0.0,98.292675,107.022,0.0,0.0,0.0,0.0,0.898,0.0,0.0,0.0,181.84144999999998,197.9907,-7.4067,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3267,0.0,0.0,0.0,0.0,0.0,-7.4067,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,29.3267,0.0,0.0,0.0,0.0,0.0,-7.4067,2.5e-5,158.33425,175.373,175.4964,0.0,0.0,0.0,106.99535,107.0,107.0753,0.0,0.0,0.0,0.0,29.3269,0.0,0.0,175.36540000000002,175.373,175.4964,268.8727,461.67357499999997,551.1501,742.7008,911.677,929.7008,971.4257249999999,972.23495,974.3767,1147.608,0.0,0.0,0.0,0.0,0.0,328.4764,549.559825,975.71965,1219.928975,2183.4279,738.8602,980.9023500000001,1057.5582,1190.78275,1287.5242
2028,77.7228,133.413725,159.22735,214.566275,263.3835,323.0873,425.25725,467.50845,554.8942999999999,615.1778,-0.898,0.0,0.0,0.0,197.9939,0.0,0.0,0.0,0.0,0.0,107.0237,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,197.9939,-10.6979,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6287,0.0,0.0,0.0,0.0,0.0,-10.6979,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.25,107.0,0.0,0.0,0.0,0.0,18.6288,0.0,0.0,0.0,0.0,0.0,-10.6979,0.0,155.41805,175.373,175.4526,0.0,0.0,0.0,106.9512,107.0,107.0484,0.0,0.0,0.0,0.0,18.6289,0.0,0.0,175.293,175.373,175.4524,287.6938,493.99070000000006,589.7306,794.6898249999999,975.4944,872.3429,911.2445500000001,911.25115,1047.815325,1086.624,0.0,0.0,0.0,0.0,0.0,243.046,431.704925,867.98875,1195.036225,2384.2476,720.0391,948.585225,1018.9777,1138.793725,1223.7068
2029,83.2217,142.71165000000002,170.37324999999998,229.585875,281.8203,336.8471,444.56395000000003,489.9073,573.719525,654.0027,-0.0,0.0,0.0,0.0,198.0119,0.0,0.0,0.0,0.0,0.0,107.0334,0.0,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,198.0118,-11.3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2881,0.0,0.0,0.0,0.0,0.0,-11.3407,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,7.2881,0.0,0.0,0.0,0.0,0.0,-11.3407,0.0,175.35295,175.373,175.498,0.0,0.0,0.0,106.9959,107.0,107.0761,0.0,0.0,0.0,0.0,10.8027,0.0,0.0,175.36635,175.373,175.4978,307.8324,528.57005,631.0117499999999,850.3181500000001,1043.7791,816.798,850.259575,850.2672,1025.639975,1025.64,0.0,0.0,0.0,0.0,0.0,135.7323,292.46915,740.5550000000001,1131.261225,2546.1562,699.9006,914.00585,977.6965,1083.1653999999999,1155.4222
2030,89.1097,152.70415,182.2994,245.656875,301.5478,351.3982,465.161925,513.66755,598.0673499999999,689.7148,-0.0,0.0,0.0,0.0,197.9684,0.0,0.0,0.0,0.0,0.0,107.0151,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,197.9779,-7.2881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.2881,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.2882,0.0,175.36735,175.373,175.3796,0.0,0.0,0.0,106.99695,107.0,107.0111,0.0,0.0,0.0,0.0,0.8631,0.0,0.0,175.36795,175.373,175.3912,329.3806,565.5699500000001,675.18255,909.84035,1116.8436,765.8466,789.281325,789.2836,964.656,964.656,0.0,0.0,0.0,0.0,0.0,85.742,201.83309999999997,596.30765,1043.537175,2656.479,678.3523,877.00595,933.52575,1022.8667499999999,1082.3577
2031,95.1227,163.3934,195.06035,262.852875,322.6561,366.1533,486.97907499999997,538.8803499999999,620.6438499999999,725.3642,-0.0,0.0,0.0,0.0,198.6241,0.0,0.0,0.0,0.0,0.0,107.3634,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,198.6224,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,175.36835000000002,175.373,175.3783,0.0,0.0,0.0,106.99805,107.0,107.0032,0.0,0.0,0.0,0.0,0.002,0.0,0.0,175.36975,175.373,175.3783,352.4373,605.159875,722.44535,973.52925,1195.0226,704.8657,728.29815,728.2995000000001,903.672,903.672,0.0,0.0,0.0,0.0,0.0,61.3299,126.46945000000001,438.33885,934.4199249999999,2706.049,655.2957,837.416025,885.9739500000001,958.00955,1004.1786
2032,101.8166,174.83089999999999,208.71460000000002,281.252575,345.242,382.4192,510.108725,565.64315,651.6836000000001,761.9587,-0.0,0.0,0.0,0.0,197.9516,0.0,0.0,0.0,0.0,0.0,107.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9516,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.0,175.36955,175.373,175.3787,0.0,0.0,0.0,106.9979,107.0,107.0035,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,175.36955,175.373,175.3787,377.1079,647.521025,773.0165,1041.676275,1278.6742,644.7356,667.314075,667.31545,842.688,842.688,0.0,0.0,0.0,0.0,0.0,16.0888,62.44985,269.9568,806.6800000000001,2720.3788,630.625,794.9929999999999,834.95365,888.6123249999999,920.527
2033,108.9462,187.069075,223.32459999999998,300.9403,369.409,399.4959,534.638325,594.0602,687.913675,800.3208,0.0,0.0,0.0,0.0,197.9501,0.0,0.0,0.0,0.0,0.0,107.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9501,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,175.36535,175.373,175.3791,0.0,0.0,0.0,106.99535,107.0,107.0037,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,175.36535,175.373,175.3791,403.5054,692.847575,827.1276499999999,1114.5936,1368.1814,583.7539,606.329975,606.3413,781.704,781.704,0.0,0.0,0.0,0.0,0.0,1.0956,16.03525,99.44234999999999,663.282425,2699.9448,604.2275,748.243575,780.1323,816.58215,834.1607
