Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,53.8266,92.5016,118.8815,139.92845,214.3876,265.1941,336.74315,385.59255,420.14822499999997,503.8972,0.0,0.0,108.268,199.46002499999997,207.0067,0.0,0.0,0.0,57.52415,106.995825,107.2307,0.0,0.0,0.426,3.643875,9.0865,0.0,0.0,106.41965,197.942275,198.3767,0.0,0.0,0.0,0.03975,10.2108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03975,10.2108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040100000000000004,10.2108,107.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.040100000000000004,10.2108,0.0,0.0,0.0,0.0,0.0,0.0,1.7927,58.95995,175.373425,175.3821,0.0,0.0,0.0,20.48735,107.00025,107.0055,0.0,0.0,0.0047,2.7773,26.1333,0.0,0.0,33.57875,175.373425,175.382,1156.504,1177.2667999999999,1192.12515,1210.6185500000001,1386.0,0.0,0.0,0.0,0.0,0.0,140.9905,235.477,263.24945,347.127525,489.5379,666.9661,836.1249,922.1345,980.41165,1125.1969
2025,57.6375,99.04280000000001,127.23395,149.72392499999998,229.3947,275.5756,352.204575,403.22855,440.02027499999997,517.7982,-8.0666,0.0,0.0,195.246175,197.8107,0.0,0.0,0.0,0.0,107.378075,108.6345,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,198.649475,200.9739,-8.7453,-0.03975,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4718,0.0,0.0,0.0,0.0,0.0,-8.7414,-0.040100000000000004,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,1.476,0.0,0.0,0.0,0.0,0.0,-8.7443,-0.059574999999999996,139.9531,175.37064999999998,179.5489,0.0,0.0,0.0,100.46915000000001,107.005675,109.5479,0.0,0.0,0.0,0.0,1.4726,0.0,0.0,164.66895,175.382225,179.549,854.8297,884.9537,891.7354,914.27595,1091.4309,0.0,0.0,0.0,0.0,0.0,378.8509,1114.772825,1164.9382500000002,1250.61285,1455.976,0.0,0.0,0.0,0.0,947.3171
2026,61.7139,105.93832499999999,136.14765,160.2044,245.4523,286.485,368.30877499999997,421.65734999999995,461.08990000000006,547.8701,-0.0,0.0,0.0,197.69105,207.7739,0.0,0.0,0.0,0.0,106.860075,112.3102,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,197.69105,207.7739,-1.4718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4672,0.0001,0.0001,0.0003,0.001,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0001,0.0001,0.000475,0.0088,0.0,0.0,0.0,0.0,0.0,-1.4726,0.0,123.79445000000001,175.372225,175.8005,0.0,0.0,0.0,75.5305,106.999525,107.2609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.79445000000001,175.372225,175.8005,780.4756,809.42505,821.15485,839.912225,1031.833,0.0,0.0,0.0,0.0,0.0,492.6305,1935.1562,1982.42625,2081.608575,2332.3059,0.0,0.0,0.0,0.0,918.0535
2027,66.0801,113.35315,145.6576,171.42357500000003,262.634,298.0083,385.47020000000003,441.21675,483.453325,579.894,-0.0,0.0,-0.0,197.70945,198.914,0.0,0.0,0.0,0.0,106.870175,107.5211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.70974999999999,198.914,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0088,-0.000475,-0.0001,-0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,50.85035,175.37265000000002,175.6105,0.0,0.0,0.0,31.0252,106.9998,107.1449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.85035,175.37265000000002,175.6105,707.6666,739.8612,752.8561500000001,768.968375,971.7062,0.0,0.0,0.0,0.0,0.0,576.5601,2685.414875,2734.5933,2851.4811,3105.9627,0.0,0.0,0.0,0.0,887.7766
2028,70.6568,121.286475,155.85375,183.427775,281.0184,310.0421,403.6686,461.978,507.14549999999997,613.9989,-0.0,0.0,0.0,197.681875,201.368,0.0,0.0,0.0,0.0,106.85510000000001,108.8475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.681875,201.368,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,23.6661,175.35184999999998,175.5693,0.0,0.0,0.0,14.4393,106.98709999999998,107.1198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6661,175.35184999999998,175.5693,656.4837,668.03165,685.1610499999999,741.82465,910.9561,0.0,0.0,0.0,0.0,0.0,630.4479,3375.195925,3432.07225,3563.74065,3827.8658,0.0,0.0,0.0,0.0,857.0683
2029,75.5864,129.801775,166.76335,196.28629999999998,300.6896,322.7103,423.233525,483.98924999999997,532.358525,649.9842,-0.0,0.0,-0.0,151.35785,204.9566,0.0,0.0,0.0,0.0,81.81504999999999,110.7873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.35785,204.9566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,68.76805,175.374325,197.825,0.0,0.0,0.0,41.9573,107.000775,120.6986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.76805,175.374325,197.825,577.6766,590.0745999999999,619.4892,674.058275,849.8037,0.0,0.0,0.0,0.0,0.0,654.94,3977.4065499999997,4080.911,4223.4427,4485.6208,0.0,0.0,0.0,0.0,825.3116
2030,80.8746,138.84484999999998,178.4369,210.02015,321.7379,336.144,442.6785,507.33545000000004,559.0638,688.3792,-0.0,0.0,-0.0,0.0,197.9888,0.0,0.0,0.0,0.0,0.0,107.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9888,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.488074999999995,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,113.6951,175.354925,197.5383,0.0,0.0,0.0,69.36855,106.989,120.5237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.6951,175.354925,197.5383,500.1308,512.7540750000001,547.3298500000001,616.918575,788.9202,0.0,0.0,0.0,0.0,0.0,650.7598,4490.797175,4668.06075,4804.055725,5072.0919,0.0,0.0,0.0,0.0,793.1004
2031,86.5373,148.581175,190.9274,224.7142,344.2596,350.354,462.700275,532.1049,576.118575,730.1509,-0.0,0.0,0.0,0.0,197.9821,0.0,0.0,0.0,0.0,0.0,107.0173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9821,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.36365,177.2472,0.0,0.0,0.0,0.0,106.994275,108.1435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.36365,177.2472,422.2387,446.91057500000005,476.88300000000004,550.487325,903.581,0.0,0.0,0.0,0.0,0.0,793.8993,4963.6053249999995,5144.1214,5307.6168,5598.1127,0.0,0.0,0.0,0.0,760.4414
2032,92.5947,158.98595,204.2928,240.434725,368.3577,365.365,484.13885,558.3951500000001,597.516975,774.2678,-0.0,0.0,0.0,0.0,199.6529,0.0,0.0,0.0,0.0,0.0,107.9205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.6529,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.376675,177.1552,0.0,0.0,0.0,0.0,107.002225,108.0874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.376675,177.1552,344.2299,377.90335,407.26115000000004,468.78657499999997,842.6216,0.0,0.0,0.0,0.0,0.0,909.7308,5347.489525,5548.281000000001,5786.026625,6056.6854,0.0,0.0,0.0,0.0,726.7901
2033,99.077,170.114925,218.59244999999999,257.259125,394.1428,381.2402,506.85040000000004,586.30145,604.4976750000001,820.8224,0.0,0.0,0.0,0.0,200.1725,0.0,0.0,0.0,0.0,0.0,108.2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.1725,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.2432,175.6723,0.0,0.0,0.0,0.0,106.92082500000001,107.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.2432,175.6723,265.0769,311.72907499999997,335.8553,413.42512500000004,781.6594,0.0,0.0,0.0,0.0,0.0,999.1161,5685.807175,5925.0262999999995,6187.27925,6427.3859,0.0,0.0,0.0,0.0,692.2741
