Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,48.3378,75.267425,104.2953,141.5576,219.6504,255.0624,304.86325,358.5117,422.81895,515.3232,0.0,0.0,199.042,199.75685,214.4293,0.0,0.0,0.0,106.96575,106.9964,107.0691,0.0,0.0,1.18445,3.9122500000000002,16.4417,0.0,0.0,197.8866,197.943375,198.0779,0.0,0.0,0.0,3.4188,13.1484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4188,13.1484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,3.418875,13.1484,107.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0007,3.418875,13.1484,0.0,0.0,0.0,0.0,0.0,0.0,2.2143249999999997,4.261699999999999,169.989725,175.3866,0.0,0.0,0.0,0.0,103.71549999999999,107.0083,0.0,0.0,0.00735,3.9881750000000005,21.9541,0.0,0.0,0.0,169.989725,175.3866,1146.8945,1174.826125,1180.9167499999999,1210.6187750000001,1386.0,0.0,0.0,0.0,0.0,0.0,131.2662,252.936325,302.33259999999996,411.474625,516.1887,630.7058,765.000025,877.4746,982.8658499999999,1131.179
2025,51.7692,80.567875,111.63295,151.4669,235.0259,264.7578,317.9987,375.4582,442.876775,543.1286,-5.0764,0.0007,190.85085,196.3461,196.8984,0.0,0.0,0.0,106.99260000000001,106.99542500000001,106.9999,0.0,0.0,0.0,0.000575,2.5852,0.0,0.0,197.93635,197.94155,197.9497,-5.1653,-3.4188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1382,0.0,0.0,0.0,0.0,0.0,-5.165,-3.418675,-0.0007,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0001,0.0002,8.1382,0.0,0.0,0.0,0.0,0.0,-5.1656,-3.7402,-0.0066,169.8833,175.3749,0.0,0.0,0.0,0.0,106.99959999999999,107.0012,0.0,0.0,0.0,0.00017500000000000003,11.0331,0.0,0.0,0.0,175.372375,175.375,1073.0737,1077.656175,1083.32735,1091.430375,1270.8267,0.0,0.0,0.0,0.0,0.0,228.5737,431.98705,525.72965,748.0566,988.1616,613.5527,743.8204000000001,852.56645,954.0571749999999,1095.2886
2026,55.3882,86.19945,119.44534999999999,162.0685,251.4778,274.7648,331.77485,393.41319999999996,464.14285,570.7347,-0.8292,-0.00017500000000000003,183.3229,197.957175,198.2864,0.0,0.0,0.0,99.7878,107.003625,107.0049,0.0,0.0,0.0,0.0001,0.3859,0.0,0.0,184.60735,197.95667500000002,197.9591,-5.3872,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.751,0.0,0.0,0.0,0.0,0.0,-5.3872,-0.0001,-0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0001,2.751,0.0,0.0,0.0,0.0,0.0,-5.387,0.003125,0.0052,172.5925,175.3733,0.0,0.0,0.0,0.0,106.9865,107.0002,0.0,0.0,0.00145,0.004975,8.8897,0.0,0.0,0.0,175.3509,175.3733,1006.0373,1009.239225,1017.3632,1031.848525,1207.206,0.0,0.0,0.0,0.0,0.0,344.6083,580.1598749999999,708.5373999999999,1034.960125,1417.285,596.3413,722.338,827.24705,924.5569500000001,1058.5289
2027,59.308,92.250575,127.80814999999998,173.42995000000002,269.0812,285.5182,346.463325,411.88945,486.777025,599.0392,0.0,0.0009500000000000001,63.89,197.9341,197.9489,0.0,0.0,0.0,34.5341,106.99135,106.9994,0.0,2.5e-5,0.0001,0.0009,0.0038,0.0,0.0,63.8881,197.93402500000002,197.9489,-2.751,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7491,0.0001,0.0003,0.0007750000000000001,0.001,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0001,0.00039999999999999996,0.000875,0.0019,0.0,0.0,0.0,0.0,0.0,-2.7464,-0.0015,-0.00019999999999999998,175.38107499999998,175.3908,0.0,0.0,0.0,0.0,107.0049,107.0109,0.0,0.0,0.00025,0.0033749999999999995,10.9299,0.0,0.0,0.0,175.38107499999998,175.3908,939.8405,949.68305,965.0653,972.221425,1147.608,0.0,0.0,0.0,0.0,0.0,383.7212,711.99845,870.7305,1284.420725,1796.8135,578.3927,700.2212499999999,801.28725,894.273175,1020.8791
2028,63.4401,98.681675,136.7548,185.55550000000002,287.9169,296.6337,361.826425,430.6655,510.670125,629.6391,-0.0038,-0.000825,5.0e-5,197.90295,197.9517,0.0,0.0,0.0,0.0,106.97457500000002,107.0009,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,197.903025,197.9517,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,-0.0008,-0.00035,-0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0008500000000000001,175.321325,175.3965,0.0,0.0,0.0,0.0,106.9698,107.0207,0.0,0.0,0.00025,0.0040750000000000005,7.6288,0.0,0.0,0.0,175.32355,175.4069,881.0383,888.7379,911.29745,919.4298249999999,1086.6241,0.0,0.0,0.0,0.0,0.0,489.4196,809.25285,1010.7755000000001,1495.3852,2125.1189,560.4127,677.77935,774.71045,863.38865,982.3177
2029,67.8791,105.589675,146.32080000000002,198.517925,308.0711,308.4244,378.16887499999996,450.42655,535.980225,662.4786,-0.0001,0.0,0.0,197.9855,197.9993,0.0,0.0,0.0,0.0,107.01915,107.0266,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,197.9855,197.9992,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,7.500000000000001e-5,0.0006,0.0,0.0,0.0,0.0,0.0,-0.0019,-0.001375,-0.0001,175.379175,175.3954,0.0,0.0,0.0,0.0,107.00365,107.0135,0.0,0.0002,0.0003,0.0026,0.0061,0.0,0.0,0.0,175.378975,175.3951,827.6219,827.63955,850.2495,854.6796999999999,1025.6403,0.0,0.0,0.0,0.0,0.0,572.7678,888.67895,1113.5167999999999,1668.39005,2410.8961,541.8568,654.62885,747.51695,831.75975,942.8223
2030,72.6297,112.977625,156.56220000000002,212.4334,329.636,320.8653,395.48232500000006,471.4189,554.853975,701.2309,-0.0002,0.0,-0.0,197.986,197.9929,0.0,0.0,0.0,0.0,107.0194,107.0232,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,197.985875,197.9928,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,-7.500000000000001e-5,-0.0,0.0,0.0001,0.0,0.0,0.0,0.0,80.24895,107.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0055,-0.002325,-0.0002,175.373725,175.3835,0.0,0.0,0.0,0.0,107.0006,107.0065,0.0,2.5e-5,0.0001,0.0002,0.0008,0.0,0.0,0.0,175.37392499999999,175.3836,766.6466,766.6557,789.2736,920.81945,964.6563,0.0,0.0,0.0,0.0,0.0,732.0541,958.167975,1192.7329,1804.077675,2654.6762,522.8751,630.9639999999999,719.6446,799.2337,902.3705
2031,77.7126,120.8886,167.52075,227.30335000000002,352.7106,333.995,413.85117499999996,493.67115,570.021825,742.6249,-0.0,0.0,0.0,197.980775,197.9971,0.0,0.0,0.0,0.0,107.016625,107.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.98075,197.9972,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.248875,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,-7.500000000000001e-5,0.0,175.372425,175.3791,0.0,0.0,0.0,0.0,106.999675,107.0037,0.0,0.0,0.0001,0.0001,0.0004,0.0,0.0,0.0,175.372425,175.3791,705.6555,705.6758500000001,728.2935500000001,859.828675,903.672,0.0,0.0,0.0,0.0,0.0,736.9547,997.547775,1244.72545,1903.04725,2856.9031,503.4328,606.701725,691.09605,765.981425,860.9391
2032,83.1508,129.36085,179.2465,243.2231,377.4003,347.8543,433.35745,517.2665,582.2536249999999,786.5356,-0.0,0.0,-0.0,197.96049999999997,197.9984,0.0,0.0,0.0,0.0,107.005625,107.0261,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,197.960425,197.9984,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,106.999375,107.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.00039999999999999996,175.367375,175.375,0.0,0.0,0.0,0.0,106.99655,107.0012,0.0,0.0,0.0,0.0001,4.1191,0.0,0.0,0.0,175.3673,175.375,640.638,644.69985,667.3168000000001,842.687375,842.688,0.0,0.0,0.0,0.0,0.0,824.9112,1055.487175,1269.815,1964.896675,3018.0523,483.5224,581.82105,661.85585,731.895675,818.5044
2033,88.9695,138.43992500000002,191.79270000000002,260.2488,403.8183,362.4926,454.02105,542.29325,610.6186,833.3298,-0.0,0.0,-0.0,154.2084,198.0018,0.0,0.0,0.0,0.0,83.35594999999999,107.028,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,154.208475,198.0018,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9996,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0,5.0e-5,175.36237500000001,175.3793,0.0,0.0,0.0,0.0,106.99347499999999,107.0039,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,175.36237500000001,175.3794,583.6827,589.42355,606.3407500000001,781.7032750000001,781.704,0.0,0.0,0.0,0.0,0.0,909.7685,1085.418425,1259.80695,1998.3528999999999,3138.6045,463.1304,556.288575,631.9084499999999,697.010525,775.042
