Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,trader_b_min,trader_b_Q1,trader_b_mean,trader_b_Q3,trader_b_max,trader_g_min,trader_g_Q1,trader_g_mean,trader_g_Q3,trader_g_max,trader_bank_min,trader_bank_Q1,trader_bank_mean,trader_bank_Q3,trader_bank_max,trader_netto_emiss_min,trader_netto_emiss_Q1,trader_netto_emiss_mean,trader_netto_emiss_Q3,trader_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_e_min,fringe_e_Q1,fringe_e_mean,fringe_e_Q3,fringe_e_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_π_MAC_min,fringe_π_MAC_Q1,fringe_π_MAC_mean,fringe_π_MAC_Q3,fringe_π_MAC_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,0.0,0.0001,29.9514,76.00402500000001,220.1376,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,-177.627,-97.3912,-71.75935,-7.907775000000001,96.1314,0.0,0.0,0.0,0.0,0.0,934.1096,1014.3453999999999,1039.9771500000002,1103.8287249999998,1207.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,105.9648,0.0,0.0,0.0,0.0,0.0,866.0095,1380.05915,1457.75745,1483.3937,1563.6444,864.8,1377.063,1457.75745,1483.3937,1563.6444,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1553.5185000000001,10006.0007,83879.4933,0.0,0.0,0.0,1.6457,3.072,864.8,1377.063,1457.75745,1483.3937,1563.6444
2025,0.0,2.22955,50.2201,97.4838,245.4111,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,82.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,187.9857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,187.9857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,187.9857,0.0,0.0,0.0,0.0,0.0,-203.2758,-137.068325,-115.91385,-101.2575,72.1876,0.0,0.0,0.0,0.0,0.0,730.8337,877.277075,924.0633,1001.8305250000001,1280.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,187.9857,0.0,0.0,0.0,0.0,0.0,866.5325,1368.0655,1382.7215,1403.87545,1470.0814,864.8001,1368.0655,1382.7215,1403.87545,1470.0814,0.0,0.0,0.0,0.0,0.0,-0.0,8.347949999999999,4079.358,15376.765425000001,97415.2008,0.0,0.0,0.0,2.908375,5.9671,864.8001,1368.0655,1382.7215,1403.87545,1470.0814
2026,0.0,21.205875,69.85,118.106875,269.1424,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,70.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,258.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,258.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,258.033,0.0,0.0,0.0,0.0,0.0,-174.9806,-120.28385,-102.80715000000001,-91.392075,60.214,0.0,0.0,0.0,0.0,0.0,555.8532,756.993225,821.2561499999999,910.5188249999999,1340.2696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,258.033,0.0,0.0,0.0,0.0,0.0,866.8027,1298.5214,1310.0162,1327.4922749999998,1382.1872,864.8001,1298.5214,1310.0162,1327.4922749999998,1382.1872,0.0,0.0,0.0,0.0,0.0,-0.0,680.092875,7375.520200000001,21092.2318,109501.2794,0.0,0.0,0.0,2.996125,7.9042,864.8001,1298.5214,1310.0162,1327.4922749999998,1382.1872
2027,0.0,39.74235,88.9268,138.00475,291.6102,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,58.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,316.1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,316.1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,316.1067,0.0,0.0,0.0,0.0,0.0,-151.3657,-106.18747499999999,-93.26820000000001,-84.57985,48.2403,0.0,0.0,0.0,0.0,0.0,404.4875,650.80575,729.5041,828.2609500000001,1388.5099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,316.1067,0.0,0.0,0.0,0.0,0.0,867.0733,1232.1927249999999,1240.3020000000001,1253.797825,1298.9732,864.8001,1232.1927249999999,1240.3020000000001,1253.797825,1298.9732,0.0,0.0,0.0,0.0,0.0,-0.0,2231.64995,11172.1067,26911.990299999998,120136.9329,0.0,0.0,0.0,2.996125,11.1494,864.8001,1232.1927249999999,1240.3020000000001,1253.797825,1298.9732
2028,0.0,57.920625,107.5511,157.307025,313.0342,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.8214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,361.9281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,361.9281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,361.9281,0.0,0.0,0.0,0.0,0.0,-133.0022,-95.6819,-85.1739,-78.16625,35.9881,0.0,0.0,0.0,0.0,0.0,271.4853,555.123825,645.7466999999999,752.3461750000001,1424.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,361.9281,0.0,0.0,0.0,0.0,0.0,867.3501,1164.79455,1171.80305,1182.3079,1219.625,864.8001,1164.79455,1171.80305,1182.3079,1219.625,0.0,0.0,0.0,0.0,0.0,-0.0,4429.71985,15272.7045,32677.746649999997,129381.1498,0.0,0.0,0.0,2.996125,12.7872,864.8001,1164.79455,1171.80305,1182.3079,1219.625
2029,0.0,75.80165,125.8004,176.1164,334.9443,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,32.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,394.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,394.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,394.1111,0.0,0.0,0.0,0.0,0.0,-112.8364,-87.810975,-78.68565000000001,-73.13615,32.0458,0.0,0.0,0.0,0.0,0.0,158.6488,468.1209,568.59325,681.670125,1456.5438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,394.1111,0.0,0.0,0.0,0.0,0.0,864.862,1098.77855,1104.3295,1113.4518750000002,1138.4764,864.7998,1098.77855,1104.3295,1113.4518750000002,1138.4764,0.0,0.0,0.0,0.0,0.0,0.0,7090.338775,19528.3082,38278.8165,138435.933,0.0,0.0,0.0,2.996125,12.8393,864.7998,1098.77855,1104.3295,1113.4518750000002,1138.4764
2030,0.0,93.43615,143.73930000000001,194.51802499999997,358.3904,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,414.1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,414.1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,414.1133,0.0,0.0,0.0,0.0,0.0,-96.819,-80.50025,-72.9645,-68.3788,19.7812,0.0,0.0,0.0,0.0,0.0,71.6658,388.288125,496.89615000000003,615.3231499999999,1476.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,414.1133,0.0,0.0,0.0,0.0,0.0,864.8661,1033.037,1037.62445,1045.156775,1061.4801,864.7997,1033.037,1037.62445,1045.156775,1061.4801,0.0,0.0,0.0,0.0,0.0,0.0,10068.219975,23826.95825,43640.12925,148126.446,0.0,0.0,0.0,2.996125,12.8393,864.7997,1033.037,1037.62445,1045.156775,1061.4801
2031,0.0,110.867225,161.422,212.583125,383.4778,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.8096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,-87.9434,-73.9088,-68.23570000000001,-64.4471,7.5666,0.0,0.0,0.0,0.0,0.0,16.6148,314.379325,429.70795,552.5543,1483.8916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,864.8668,968.1216999999999,971.9129,977.58095,991.6226,864.8,968.1216999999999,971.9129,977.58095,991.6226,0.0,0.0,0.0,0.0,0.0,0.0,13247.9166,28084.14345,48711.757675,158495.2973,0.0,0.0,0.0,2.996125,12.8393,864.8,968.1216999999999,971.9129,977.58095,991.6226
2032,0.0,128.13135,178.89375,230.37054999999998,410.3212,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,-124.5507,-68.373225,-64.12875,-60.863400000000006,-16.6148,0.0,0.0,0.0,0.0,0.0,0.0,245.365525,366.24440000000004,492.73997499999996,1461.7234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,859.3028,903.554125,906.82025,911.0608,967.2449,859.3028,903.554125,906.82025,911.0608,967.2449,0.0,0.0,0.0,0.0,0.0,0.0,16537.281324999996,32236.03515,53461.50997500001,169589.9681,0.0,0.0,0.0,2.996125,12.8393,859.3028,903.554125,906.82025,911.0608,967.2449
2033,0.0,145.25647500000002,196.19035,247.927825,431.2729,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,-131.0213,-63.355575,-60.684250000000006,-58.1109,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.39475,305.85825,435.368175,1378.5735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46215,421.9229,0.0,0.0,0.0,0.0,0.0,781.704,839.8176000000001,842.3886,845.062075,912.7253,781.704,839.8176000000001,842.3886,845.062075,912.6717,0.0,0.0,0.0,0.0,0.0,0.0,19862.8093,36234.59165,57869.5601,175094.6081,0.0,0.0,0.0,2.996125,12.8393,781.704,839.8176000000001,842.3886,845.062075,912.6717
