Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_e_min,fringe_e_Q1,fringe_e_mean,fringe_e_Q3,fringe_e_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,0.0,0.0,0.0,27.129450000000002,181.8492,1.0,1.0,1.0,1.0,1.0,0.0,0.0,52.1934,102.045425,210.5173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,210.5173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,210.5173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,210.5173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,210.5173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,210.5173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,210.5173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,210.5173,0.0,0.0,0.0,0.0,0.0,543.931,977.81835,1177.2266,1386.0,1386.0001,864.8001,1377.063,1568.72105,1664.446525,1705.4951,0.0,0.0,0.0,0.0,0.0,703.9656,717.075025,733.43985,816.691275,839.657,864.8001,1377.063,1568.72105,1664.446525,1705.4951
2025,0.0,0.053700000000000005,30.59565,70.53555,228.7028,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,144.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,354.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,354.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,354.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,354.525,0.0,0.0,0.0,0.0,0.0,690.7731,1266.77485,1266.804,1266.804,1266.804,864.7998,1376.939825,1455.40395,1503.6830249999998,1531.9634,0.0,0.0,0.0,0.0,0.0,524.0719,543.9372,589.8683000000001,605.1773250000001,701.2825,864.7998,1376.939825,1455.40395,1503.6830249999998,1531.9634
2026,0.0001,7.34225,61.5672,105.56184999999999,266.1042,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,73.9303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,428.4552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,428.4552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,428.4552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,428.4552,0.0,0.0,0.0,0.0,0.0,911.485,1207.206,1207.206,1207.206,1207.206,864.799,1333.8395,1345.1680000000001,1373.9561250000002,1393.4398,0.0,0.0,0.0,0.0,0.0,340.8484,399.81025,425.59259999999995,459.6635,723.2424,864.799,1333.8395,1345.1680000000001,1373.9561250000002,1393.4398
2027,0.0001,34.572275000000005,88.02674999999999,134.8148,296.9935,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,81.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,509.4607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,509.4607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,509.4607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,509.4607,0.0,0.0,0.0,0.0,0.0,823.5861,1147.608,1147.608,1147.608,1147.608,864.7989,1240.147975,1254.6457,1266.4472500000002,1286.753,0.0,0.0,0.0,0.0,0.0,209.4213,303.086725,312.41035,358.25405,748.6462,864.7989,1240.147975,1254.6457,1266.4472500000002,1286.753
2028,0.0001,58.454075,111.37765,160.09027500000002,323.3963,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,52.5444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,562.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,562.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,562.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,562.0051,0.0,0.0,0.0,0.0,0.0,876.4463,1086.624,1086.624,1086.624,1086.624,864.7983,1155.93135,1169.15835,1175.047125,1216.4011,0.0,0.0,0.0,0.0,0.0,114.7984,226.281975,241.10185,284.31165,745.2465,864.7983,1155.93135,1169.15835,1175.047125,1216.4011
2029,0.0002,80.029075,132.58685,182.62545,346.7081,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,37.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,599.3062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,599.3062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,599.3062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,599.3062,0.0,0.0,0.0,0.0,0.0,876.4359,1025.64,1025.64,1025.64,1025.64,864.7971,1077.648875,1087.6105,1091.1566500000001,1120.2044,0.0,0.0,0.0,0.0,0.0,45.5316,163.38660000000002,182.3653,229.29270000000002,756.8849,864.7971,1077.648875,1087.6105,1091.1566500000001,1120.2044
2030,0.0011,100.0148,152.32055,203.2726,370.9777,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,621.3637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,621.3637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,621.3637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,621.3637,0.0,0.0,0.0,0.0,0.0,876.4255,964.656,964.6561,964.6561,964.6561,864.7895,1004.563975,1010.71595,1013.3853750000001,1112.4212,0.0,0.0,0.0,0.0,0.0,5.1681,115.978375,141.5452,187.310975,740.2443,864.7895,1004.563975,1010.71595,1013.3853750000001,1112.4212
2031,0.0032,118.90559999999999,171.03775,222.6191,396.9461,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.8206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,876.3879,903.6721,903.6721,903.6721,903.6723,864.7797,935.094775,938.97915,940.892775,1009.541,0.0,0.0,0.0,0.0,0.0,0.0,79.240125,109.9696,154.311325,694.0679,864.7797,935.094775,938.97915,940.892775,1009.541
2032,0.0019,137.0421,189.05475,241.069725,414.8072,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,842.6454,842.688,842.688,842.688,842.688,842.688,868.12285,870.1438499999999,872.204925,980.9174,0.0,0.0,0.0,0.0,0.0,0.0,49.8529,84.13925,127.49975,646.738,842.688,868.12285,870.1438499999999,872.204925,980.9174
2033,0.0023,154.658925,206.5891,258.90275,431.2729,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1934,102.045425,628.1842,0.0,0.0,0.0,0.0,0.0,781.6617,781.704,781.704,781.704,781.704,781.704,803.1426999999999,804.45525,806.10205,912.2547,0.0,0.0,0.0,0.0,0.0,0.0,25.530075,62.26695,104.95145,563.6479,781.704,803.1426999999999,804.45525,806.10205,912.2547
