Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_e_min,fringe_e_Q1,fringe_e_mean,fringe_e_Q3,fringe_e_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_π_MAC_min,fringe_π_MAC_Q1,fringe_π_MAC_mean,fringe_π_MAC_Q3,fringe_π_MAC_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,0.0,1.102675,44.56565,89.00004999999999,228.0713,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,184.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4973,0.0,0.0,0.0,0.0,0.0,648.0106,1385.999925,1386.0,1386.0,1386.0873,864.8001,1372.75715,1403.66305,1435.2962750000002,1534.3022,0.0,0.0,0.0,0.0,0.0,-0.0,2.58465,3437.36125,13714.3551,90025.1738,856.2804,975.672225,1063.16985,1094.1085750000002,1125.2235,864.8001,1372.75715,1403.66305,1435.2962750000002,1534.3022
2025,0.0,16.56225,61.135949999999994,106.76429999999999,249.5726,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,130.8379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.3353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.3353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.3353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.3353,0.0,0.0,0.0,0.0,0.0,743.4523,1266.804,1266.804,1266.804,1266.804,864.7997,1315.72125,1342.2917499999999,1369.50275,1454.6681,0.0,0.0,0.0,0.0,0.0,0.0,443.933125,6045.50745,18442.388400000003,100747.0743,759.5322,898.9083499999999,961.09865,1018.651075,1076.4364,864.7997,1315.72125,1342.2917499999999,1369.50275,1454.6681
2026,0.0001,32.115025,77.69155,124.347025,270.3699,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,86.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.6272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.6272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.6272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.6272,0.0,0.0,0.0,0.0,0.0,862.0382,1207.206,1207.206,1207.206,1207.206,864.7976,1258.118525,1280.9744999999998,1304.3815749999999,1377.6411,0.0,0.0,0.0,0.0,0.0,0.0,1559.32805,9124.38015,23378.844175,110502.3345,605.1351,846.54455,897.8407,944.9085500000001,1025.6358,864.7976,1258.118525,1280.9744999999998,1304.3815749999999,1377.6411
2027,0.0,47.795375,94.2346,141.77355,290.5616,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,36.8308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,1000.2849,1147.608,1147.608,1147.608,1147.608,864.7995,1200.0431,1219.7039,1239.8387500000001,1302.8569,0.0,0.0,0.0,0.0,0.0,0.0,3227.558,12545.636750000001,28401.38375,119274.4839,449.8862,770.335325,869.80335,905.4584500000001,979.142,864.7995,1200.0431,1219.7039,1239.8387500000001,1302.8569
2028,0.0327,63.585,110.7663,159.06512500000002,310.9009,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,1086.5959,1086.6244,1086.6244,1086.6245,1086.6247,864.7294,1141.5614249999999,1158.4738000000002,1175.7939500000002,1227.5261,0.0,0.0,0.0,0.0,0.0,0.0005,5338.516825,16199.688699999999,33412.121,127623.7044,308.984,681.165875,800.87195,854.88775,1134.9212,864.7294,1141.5614249999999,1158.4738000000002,1175.7939500000002,1227.5261
2029,0.001,79.470125,127.2898,176.24245,332.664,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.458,0.0,0.0,0.0,0.0,0.0,1025.6041,1025.64,1025.64,1025.64,1025.64,864.7972,1082.7292499999999,1097.2773000000002,1112.1761000000001,1146.9222,0.0,0.0,0.0,0.0,0.0,0.0,7793.332350000001,19993.6097,38333.4748,136557.3567,187.7018,594.6298750000001,729.23465,821.2652499999999,1289.0515,864.7972,1082.7292499999999,1097.2773000000002,1112.1761000000001,1146.9222
2030,0.0,95.435925,143.80475,193.319775,355.9504,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,955.854,964.656,964.656,964.656,964.656,864.7993,1023.596575,1036.11085,1048.926825,1071.3493,0.0,0.0,0.0,0.0,0.0,0.0,10503.9382,23848.800349999998,43104.01885,146116.3716,91.6818,510.359025,657.7798,772.725425,1380.1062,864.7993,1023.596575,1036.11085,1048.926825,1071.3493
2031,0.0142,111.47162500000002,160.31275,210.311525,380.867,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,903.6314,903.672,903.672,903.672,903.672,864.7736,964.205125,974.73705,984.7219749999999,998.7779,0.0,0.0,0.0,0.0,0.0,0.0001,13392.790325,27699.5438,47676.1751,156344.5176,26.9613,428.036775,586.4819,726.896275,1418.9968,864.7736,964.205125,974.73705,984.7219749999999,998.7779
2032,0.0132,127.567425,176.8149,227.22975000000002,407.5277,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,842.66,842.688,842.688,842.688,842.688,864.7704,901.372575,911.4298,919.172825,929.603,0.0,0.0,0.0,0.0,0.0,0.0001,16392.185675,31491.2773,52013.596000000005,167288.6338,0.0,347.3906,515.319,675.302225,1396.9099,864.7704,901.372575,911.4298,919.172825,929.603
2033,0.6471,143.71495000000002,193.31195,244.084775,431.2729,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6585,0.0,0.0,0.0,0.0,0.0,781.6782,781.704,781.704,781.704,781.704,781.704,837.949125,849.9483,856.3319,863.1153,0.0,0.0,0.0,0.0,0.0,0.3646,19443.586075,35179.21,56089.27189999999,175094.6081,0.0,268.1863,444.2722,613.414325,1316.0929,781.704,837.949125,849.9483,856.3319,863.1153
