Y,λ,buy,abate,emmit,bank,Alkaline_cap,Alkaline_g,PEM_cap,PEM_g
2019,90.9449,3457.9082,252.6094,1309.7206,2148.1876,2.8081,24598.9941,0.0,0.0
2020,90.9449,1892.9839,252.6094,1309.7206,2731.4509,0.0,24598.9941,0.0,0.0
2021,90.9449,1854.7196,252.6094,1309.7206,3276.4499,0.0,24598.9941,0.0,0.0
2022,97.311,1816.4555,270.2921,1292.0379,3800.8675,0.0995,25470.3444,0.0,0.0
2023,104.1228,1724.0953,289.2125,1273.1175,4251.8454,1.5431,38988.3056,0.0,0.0
2024,111.4114,1631.7353,309.4574,1252.8726,4630.708,1.6512,53452.5242,0.0,0.0
2025,119.2102,1539.3754,331.1194,1231.2106,4938.8728,1.7667,68929.238,0.0,0.0
2026,127.5549,1447.0156,354.2978,1208.0322,5177.8562,1.8904,85489.3218,0.0,0.0
2027,136.4837,1354.656,379.0986,1183.2314,5349.2809,2.0227,103208.6114,0.0,0.0
2028,146.0376,1262.2966,405.6355,1156.6945,5454.883,2.1643,122168.2513,0.0,0.0
2029,156.2602,1169.9373,434.03,1128.3,5496.5203,2.3158,142455.0661,0.0,0.0
2030,167.1985,1077.5782,464.4121,1097.9179,5476.1807,2.478,164161.9578,0.0,0.0
2031,178.9024,985.2194,496.921,1065.409,5395.991,2.6514,187388.332,0.0,0.0
2032,191.4255,892.8607,531.7054,1030.6246,5258.2272,2.837,212240.5524,0.0,0.0
2033,204.8253,800.5023,568.9248,993.4052,5065.3243,3.0356,238832.4281,0.0,0.0
2034,219.1631,708.1441,608.7496,953.5804,4819.888,3.2481,267285.7352,0.0,0.0
2035,234.5045,615.7862,651.362,910.968,4524.7062,3.4755,297730.7738,0.0,0.0
2036,250.9198,523.4286,696.9574,865.3726,4182.7622,3.7187,330306.9651,0.0,0.0
2037,268.4842,431.0713,745.7444,816.5856,3797.2478,3.9791,365163.4898,0.0,0.0
2038,287.2781,338.7143,797.9465,764.3835,3371.5786,4.2576,402459.9712,0.0,0.0
2039,307.3876,246.3577,853.8027,708.5273,2909.409,4.5556,442367.2063,0.0,0.0
2040,328.9047,154.0014,913.5689,648.7611,2414.6493,4.8745,485067.9479,0.0,0.0
2041,351.928,61.6455,977.5188,584.8112,1891.4836,5.2157,530757.7414,0.0,0.0
2042,376.563,0.0775,1045.9451,516.3849,1375.1761,5.5808,579645.8204,0.0,0.0
2043,402.9224,0.0844,1119.1612,443.1688,932.0918,5.9715,631956.065,0.0,0.0
2044,431.1269,0.0919,1197.5025,364.8275,567.3562,6.3895,687928.0267,0.0,0.0
2045,461.3058,0.0978,1281.3277,281.0023,286.4517,5.0319,732007.2774,0.0,0.0
2046,493.5972,0.0978,1371.0206,191.3094,95.2401,0.0,732007.2774,0.0,0.0
2047,528.149,0.0978,1466.9921,95.3379,0.0,0.0,732007.2774,0.0,0.0
2048,564.8967,0.0,1562.33,0.0,0.0,0.0,0.1318,0.0,0.0
2049,599.991,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2050,632.4095,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2051,664.7097,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2052,697.0448,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2053,729.3266,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2054,761.1186,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2055,791.9231,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2056,821.0364,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2057,847.5078,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2058,869.8925,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2059,886.1179,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2060,892.6974,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2061,884.3016,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2062,847.7273,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
2063,746.0482,0.0,1562.33,0.0,0.0,0.0,0.0,0.0,0.0
