Y,λ_ets,λ_product,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,fringe_a,fringe_b,fringe_g
2024,158.737,355.9853,40.2981,0.0,0.0,40.2981,0.0,0.0,40.2981,106.9,106.9,40.2981,0.0,0.0,0.0,1224.8075,0.0
2025,158.737,355.9853,16.459,0.0,0.0,16.459,0.0,0.0,16.459,0.0,106.9,16.459,0.0,0.0,0.0,1200.9679,0.0
2026,158.737,355.9853,4.5394,0.0,0.0,4.5394,0.0,0.0,4.5394,0.0,106.9,4.5394,0.0,0.0,0.0,1189.0482,0.0
2027,169.8486,356.2383,2.6367,0.0,0.0,2.6367,0.0,0.0,2.6367,0.0,106.9,2.6367,0.0,0.0,0.0,1137.0613,0.0
2028,181.738,356.2383,1.1579,0.0,0.0,1.1579,0.0,0.0,1.1579,0.0,106.9,1.1579,0.0,0.0,0.0,1081.9923,0.0
2029,194.4597,356.2383,0.4294,0.0,0.0,0.4294,0.0,0.0,0.4294,0.0,106.9,0.4294,0.0,0.0,0.0,1023.9222,0.0
2030,208.0718,356.2383,0.5037,0.0,0.0,0.5037,0.0,0.0,0.5037,0.0,106.9,0.5037,0.0,0.0,0.0,962.641,0.0
2031,222.6369,356.2383,1.437,0.0,0.0,1.437,0.0,0.0,1.437,0.0,106.9,1.437,0.0,0.0,0.0,897.9239,0.0
2032,238.2215,356.2383,3.2894,0.0,0.0,3.2894,0.0,0.0,3.2894,0.0,106.9,3.2894,0.0,0.0,0.0,829.5304,0.0
2033,254.897,356.2383,6.1252,0.0,0.0,6.1252,0.0,0.0,6.1252,0.0,106.9,6.1252,0.0,0.0,0.0,757.2031,0.0
2034,272.7397,356.2383,10.0133,0.0,0.0,10.0133,0.0,0.0,10.0133,0.0,106.9,10.0133,0.0,0.0,0.0,680.6666,0.0
2035,291.8315,356.2383,10.1159,0.0,0.0,10.1159,0.0,0.0,10.1159,0.0,106.9,10.1159,0.0,0.0,0.0,619.2724,0.0
2036,312.2597,356.2383,8.9402,0.0,0.0,8.9402,0.0,0.0,8.9402,0.0,106.9,8.9402,0.0,0.0,0.0,562.9913,0.0
