Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BOF-CC_b_min,BF-BOF-CC_b_Q1,BF-BOF-CC_b_mean,BF-BOF-CC_b_Q3,BF-BOF-CC_b_max,BF-BOF-CC_cap,BF-BOF-CC_g_min,BF-BOF-CC_g_Q1,BF-BOF-CC_g_mean,BF-BOF-CC_g_Q3,BF-BOF-CC_g_max,BF-BOF-CC_bank_min,BF-BOF-CC_bank_Q1,BF-BOF-CC_bank_mean,BF-BOF-CC_bank_Q3,BF-BOF-CC_bank_max,BF-BOF-CC_netto_emiss_min,BF-BOF-CC_netto_emiss_Q1,BF-BOF-CC_netto_emiss_mean,BF-BOF-CC_netto_emiss_Q3,BF-BOF-CC_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,trader_b_min,trader_b_Q1,trader_b_mean,trader_b_Q3,trader_b_max,trader_g_min,trader_g_Q1,trader_g_mean,trader_g_Q3,trader_g_max,trader_bank_min,trader_bank_Q1,trader_bank_mean,trader_bank_Q3,trader_bank_max,trader_netto_emiss_min,trader_netto_emiss_Q1,trader_netto_emiss_mean,trader_netto_emiss_Q3,trader_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,NG-DRI-CC_b_min,NG-DRI-CC_b_Q1,NG-DRI-CC_b_mean,NG-DRI-CC_b_Q3,NG-DRI-CC_b_max,NG-DRI-CC_cap,NG-DRI-CC_g_min,NG-DRI-CC_g_Q1,NG-DRI-CC_g_mean,NG-DRI-CC_g_Q3,NG-DRI-CC_g_max,NG-DRI-CC_bank_min,NG-DRI-CC_bank_Q1,NG-DRI-CC_bank_mean,NG-DRI-CC_bank_Q3,NG-DRI-CC_bank_max,NG-DRI-CC_netto_emiss_min,NG-DRI-CC_netto_emiss_Q1,NG-DRI-CC_netto_emiss_mean,NG-DRI-CC_netto_emiss_Q3,NG-DRI-CC_netto_emiss_max,NGDRI-EAF_b_min,NGDRI-EAF_b_Q1,NGDRI-EAF_b_mean,NGDRI-EAF_b_Q3,NGDRI-EAF_b_max,NGDRI-EAF_cap,NGDRI-EAF_g_min,NGDRI-EAF_g_Q1,NGDRI-EAF_g_mean,NGDRI-EAF_g_Q3,NGDRI-EAF_g_max,NGDRI-EAF_bank_min,NGDRI-EAF_bank_Q1,NGDRI-EAF_bank_mean,NGDRI-EAF_bank_Q3,NGDRI-EAF_bank_max,NGDRI-EAF_netto_emiss_min,NGDRI-EAF_netto_emiss_Q1,NGDRI-EAF_netto_emiss_mean,NGDRI-EAF_netto_emiss_Q3,NGDRI-EAF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_e_min,fringe_e_Q1,fringe_e_mean,fringe_e_Q3,fringe_e_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_π_MAC_min,fringe_π_MAC_Q1,fringe_π_MAC_mean,fringe_π_MAC_Q3,fringe_π_MAC_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,48.6853,48.6853,48.6853,48.6853,48.6853,346.3826,346.3826,346.3826,346.3826,346.3826,181.9383,181.9383,181.9383,181.9383,181.9383,0.0,107.0225,107.0225,107.0225,107.0225,107.0225,0.0,0.0,0.0,0.0,0.0,181.9383,181.9383,181.9383,181.9383,181.9383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-329.6287,-329.6287,-329.6287,-329.6287,-329.6287,0.0,0.0,0.0,0.0,0.0,782.1078,782.1078,782.1078,782.1078,782.1078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.7012,1533.7012,1533.7012,1533.7012,1533.7012,1533.7012,1533.7012,1533.7012,1533.7012,1533.7012,0.0,0.0,0.0,0.0,0.0,5608.6911,5608.6911,5608.6911,5608.6911,5608.6911,0.0,0.0,0.0,0.0,0.0,1533.7012,1533.7012,1533.7012,1533.7012,1533.7012
2025,56.3528,56.3528,56.3528,56.3528,56.3528,364.4803,364.4803,364.4803,364.4803,364.4803,181.9495,181.9495,181.9495,181.9495,181.9495,0.0,107.0291,107.0291,107.0291,107.0291,107.0291,0.0,0.0,0.0,0.0,0.0,181.9495,181.9495,181.9495,181.9495,181.9495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.4334,-17.4334,-17.4334,-17.4334,-17.4334,0.0,0.0,0.0,0.0,0.0,764.6744,764.6744,764.6744,764.6744,764.6744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.2798,1495.2798,1495.2798,1495.2798,1495.2798,1495.2798,1495.2798,1495.2798,1495.2798,1495.2798,0.0,0.0,0.0,0.0,0.0,7004.701,7004.701,7004.701,7004.701,7004.701,0.0,0.0,0.0,0.0,0.0,1495.2798,1495.2798,1495.2798,1495.2798,1495.2798
2026,63.2818,63.2818,63.2818,63.2818,63.2818,381.6328,381.6328,381.6328,381.6328,381.6328,181.9531,181.9531,181.9531,181.9531,181.9531,0.0,107.0312,107.0312,107.0312,107.0312,107.0312,0.0,0.0,0.0,0.0,0.0,181.9531,181.9531,181.9531,181.9531,181.9531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.5277,-60.5277,-60.5277,-60.5277,-60.5277,0.0,0.0,0.0,0.0,0.0,704.1467,704.1467,704.1467,704.1467,704.1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.2772,1460.2772,1460.2772,1460.2772,1460.2772,1460.2772,1460.2772,1460.2772,1460.2772,1460.2772,0.0,0.0,0.0,0.0,0.0,8254.9922,8254.9922,8254.9922,8254.9922,8254.9922,0.0,0.0,0.0,0.0,0.0,1460.2772,1460.2772,1460.2772,1460.2772,1460.2772
2027,69.7103,69.7103,69.7103,69.7103,69.7103,397.989,397.989,397.989,397.989,397.989,181.9276,181.9276,181.9276,181.9276,181.9276,0.0,107.0162,107.0162,107.0162,107.0162,107.0162,0.0,0.0,0.0,0.0,0.0,181.9276,181.9276,181.9276,181.9276,181.9276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.4757,-106.4757,-106.4757,-106.4757,-106.4757,0.0,0.0,0.0,0.0,0.0,597.6711,597.6711,597.6711,597.6711,597.6711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428.1354,1428.1354,1428.1354,1428.1354,1428.1354,1428.1354,1428.1354,1428.1354,1428.1354,1428.1354,0.0,0.0,0.0,0.0,0.0,9344.0822,9344.0822,9344.0822,9344.0822,9344.0822,0.0,0.0,0.0,0.0,0.0,1428.1354,1428.1354,1428.1354,1428.1354,1428.1354
2028,75.9814,75.9814,75.9814,75.9814,75.9814,414.125,414.125,414.125,414.125,414.125,9.8332,9.8332,9.8332,9.8332,9.8332,0.0,5.7842,5.7842,5.7842,5.7842,5.7842,0.0,0.0,0.0,0.0,0.0,9.8332,9.8332,9.8332,9.8332,9.8332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.3665,101.2206,101.2206,101.2206,101.2206,101.2206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8531,17.8531,17.8531,17.8531,17.8531,0.0,0.0,0.0,0.0,0.0,615.5242,615.5242,615.5242,615.5242,615.5242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.0404,1396.0404,1396.0404,1396.0404,1396.0404,1396.0404,1396.0404,1396.0404,1396.0404,1396.0404,0.0,0.0,0.0,0.0,0.0,10398.5503,10398.5503,10398.5503,10398.5503,10398.5503,0.0,0.0,0.0,0.0,0.0,1396.0404,1396.0404,1396.0404,1396.0404,1396.0404
2029,87.6038,87.6038,87.6038,87.6038,87.6038,427.4667,427.4667,427.4667,427.4667,427.4667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6309,106.9974,106.9974,106.9974,106.9974,106.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6019,10.6019,10.6019,10.6019,10.6019,0.0,0.0,0.0,0.0,0.0,626.1261,626.1261,626.1261,626.1261,626.1261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.6734,1333.6734,1333.6734,1333.6734,1333.6734,1333.6734,1333.6734,1333.6734,1333.6734,1333.6734,0.0,0.0,0.0,0.0,0.0,13131.7804,13131.7804,13131.7804,13131.7804,13131.7804,0.0,0.0,0.0,0.0,0.0,1333.6734,1333.6734,1333.6734,1333.6734,1333.6734
2030,100.4254,100.4254,100.4254,100.4254,100.4254,441.5982,441.5982,441.5982,441.5982,441.5982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9974,106.9974,106.9974,106.9974,106.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7887,-3.7887,-3.7887,-3.7887,-3.7887,0.0,0.0,0.0,0.0,0.0,622.3374,622.3374,622.3374,622.3374,622.3374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.2769,1268.2769,1268.2769,1268.2769,1268.2769,1268.2769,1268.2769,1268.2769,1268.2769,1268.2769,0.0,0.0,0.0,0.0,0.0,16132.5992,16132.5992,16132.5992,16132.5992,16132.5992,0.0,0.0,0.0,0.0,0.0,1268.2769,1268.2769,1268.2769,1268.2769,1268.2769
2031,113.7796,113.7796,113.7796,113.7796,113.7796,461.7049,461.7049,461.7049,461.7049,461.7049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9974,106.9974,106.9974,106.9974,106.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.2118,-16.2118,-16.2118,-16.2118,-16.2118,0.0,0.0,0.0,0.0,0.0,606.1256,606.1256,606.1256,606.1256,606.1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.7995,1200.7995,1200.7995,1200.7995,1200.7995,1200.7995,1200.7995,1200.7995,1200.7995,1200.7995,0.0,0.0,0.0,0.0,0.0,19315.6027,19315.6027,19315.6027,19315.6027,19315.6027,0.0,0.0,0.0,0.0,0.0,1200.7995,1200.7995,1200.7995,1200.7995,1200.7995
2032,127.5642,127.5642,127.5642,127.5642,127.5642,480.6137,480.6137,480.6137,480.6137,480.6137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9974,106.9974,106.9974,106.9974,106.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.826,-26.826,-26.826,-26.826,-26.826,0.0,0.0,0.0,0.0,0.0,579.2997,579.2997,579.2997,579.2997,579.2997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.5104,1131.5104,1131.5104,1131.5104,1131.5104,1131.5104,1131.5104,1131.5104,1131.5104,1131.5104,0.0,0.0,0.0,0.0,0.0,22629.382,22629.382,22629.382,22629.382,22629.382,0.0,0.0,0.0,0.0,0.0,1131.5104,1131.5104,1131.5104,1131.5104,1131.5104
2033,141.5836,141.5836,141.5836,141.5836,141.5836,500.1338,500.1338,500.1338,500.1338,500.1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9974,106.9974,106.9974,106.9974,106.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.0257,-36.0257,-36.0257,-36.0257,-36.0257,0.0,0.0,0.0,0.0,0.0,543.274,543.274,543.274,543.274,543.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.7932,1060.7932,1060.7932,1060.7932,1060.7932,1060.7932,1060.7932,1060.7932,1060.7932,1060.7932,0.0,0.0,0.0,0.0,0.0,26013.0033,26013.0033,26013.0033,26013.0033,26013.0033,0.0,0.0,0.0,0.0,0.0,1060.7932,1060.7932,1060.7932,1060.7932,1060.7932
