Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,46.9212,86.6832,108.9658,128.3357,180.359,252.4255,325.9822,367.1589,401.1563,486.4147,0.0,0.0,198.4183,201.1118,217.2789,0.0,0.0,0.0,106.9905,107.003,107.1533,0.0,0.0,0.6871,3.1825,19.4091,0.0,0.0,197.9325,197.9556,198.2335,0.0,0.0,0.0,0.7525,13.1409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7525,13.1409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.7525,13.1409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.7525,13.1409,0.0,0.0,0.0,0.0,0.0,0.0,0.006,6.7624,175.373,176.1956,0.0,0.0,0.0,0.0,106.9999,107.0112,0.0,0.0,0.0057,3.921,25.8885,0.0,0.0,0.0,175.3729,175.3913,1146.9121,1174.457,1183.5149,1210.6049,1210.6272,0.0,0.0,0.0,0.0,0.0,134.7476,248.6495,284.5069,373.4848,520.8252,626.0869,810.03,889.9501,951.7148,1075.8794
2025,50.2432,92.8204,116.63,137.3124,192.9841,261.9005,340.6797,384.78,419.6695,507.9124,-3.2049,0.0,184.3391,195.6904,197.5398,0.0,0.0,0.0,106.9732,106.9963,107.0481,0.0,0.0,0.0,0.0,7.6378,0.0,0.0,197.9005,197.9432,198.039,-5.5683,-0.7525,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7946,0.0,0.0,0.0,0.0,0.0,-5.5683,-0.7525,-0.0002,0.0,-0.0,107.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,9.7946,0.0,0.0,0.0,0.0,0.0,-5.5682,-0.7527,-0.0,175.3577,175.3829,0.0,0.0,0.0,0.0,106.9913,107.006,0.0,0.0,0.0,0.3325,16.1744,0.0,0.0,0.0,175.3587,175.3829,1071.1285,1076.095,1085.7562,1091.4318,1266.8041,0.0,0.0,0.0,0.0,0.0,203.9537,426.0325,496.0982,659.7249,992.0109,609.2364,787.1271,864.5037,924.3111,1043.3571
2026,53.7966,99.2807,124.8261,146.9279,206.493,271.844,355.9915,403.2041,439.3297,527.3709,-3.3708,0.0,72.5172,197.9582,198.0222,0.0,0.0,0.0,39.1985,107.0046,107.0529,0.0,0.0,0.0,0.0,0.1182,0.0,0.0,72.5172,197.9585,198.0479,-4.6106,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.184,0.0,0.0,0.0,0.0,0.0,-4.6106,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,5.184,0.0,0.0,0.0,0.0,0.0,-4.6106,0.0,0.0,175.3202,175.3834,0.0,0.0,0.0,0.0,106.9985,107.0063,0.0,0.0,0.0,0.0,12.5486,0.0,0.0,0.0,175.3706,175.3834,1004.2465,1009.2543,1029.9566,1031.8346,1207.206,0.0,0.0,0.0,0.0,0.0,320.43,561.6669,687.5861,904.7373,1423.0001,591.9967,764.2069,838.4687,896.1983,1010.0471
2027,57.6028,106.2315,133.5134,157.2128,220.9475,282.3325,372.2996,421.2768,460.1571,545.3154,-0.1182,0.0,0.0,197.9444,198.0286,0.0,0.0,0.0,0.0,106.997,107.0426,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,197.9444,198.0288,-3.7717,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4123,0.0,0.0,0.0,0.0,0.0,-3.7717,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,1.4123,0.0,0.0,0.0,0.0,0.0,-3.7717,0.0,0.0,175.3621,175.3755,0.0,0.0,0.0,0.0,106.9933,107.0015,0.0,0.0,0.0,0.0,1.4123,0.0,0.0,0.0,175.3621,175.3755,949.6122,949.6754,972.2347,972.4109,1147.608,0.0,0.0,0.0,0.0,0.0,382.0338,700.1881,847.6694,1113.8333,1809.5385,574.3243,740.5468,812.1536,867.4201,975.9306
2028,61.6783,113.6681,142.8762,168.2177,236.4138,293.3886,389.5741,440.7102,482.2436,550.8755,-0.0,0.0,-0.0,197.9612,203.168,0.0,0.0,0.0,0.0,107.0017,107.2298,0.0,0.0,0.0,0.0,4.7929,0.0,0.0,0.0,197.9532,198.3751,-1.4123,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4123,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4123,0.0,0.0,175.373,175.4102,0.0,0.0,0.0,0.0,107.0,107.0227,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,175.373,175.4102,883.3213,888.6687,911.2373,911.2551,1086.624,0.0,0.0,0.0,0.0,0.0,490.4367,781.5993,973.9916,1286.1744,2146.1122,556.2172,716.3155,784.9229,837.9451,940.9878
2029,65.9131,121.5942,152.878,179.9929,252.9628,304.8149,407.7695,461.2351,505.674,566.9447,0.0,0.0,0.0,197.8781,198.0012,0.0,0.0,0.0,0.0,106.9984,107.1322,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,197.947,198.1946,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,175.3712,175.3973,0.0,0.0,0.0,0.0,106.9989,107.0148,0.0,0.0,0.0,0.0,15.1757,0.0,0.0,0.0,175.3712,175.3973,816.9332,827.6924,850.2636,850.2954,1025.64,0.0,0.0,0.0,0.0,0.0,665.6061,909.5752,1067.1598,1422.3333,2435.6125,538.4515,691.6406,757.0992,807.7561,905.1988
2030,70.5326,130.1491,163.5795,192.5924,270.6702,317.0336,427.3918,482.9884,530.5379,599.6212,-0.0,0.0,-0.0,197.8839,197.9509,0.0,0.0,0.0,0.0,106.9643,107.0005,0.0,0.0,0.0,0.0,1.5137,0.0,0.0,0.0,197.884,197.9509,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,9.3015,175.3714,175.3987,0.0,0.0,0.0,0.0,106.999,107.0157,0.0,0.0,0.0,0.0,9.3016,0.0,0.0,0.0,175.3714,175.3987,757.4674,766.7984,789.2841,801.2866,964.656,0.0,0.0,0.0,0.0,0.0,794.7453,983.1835,1127.8409,1513.7578,2682.7149,519.696,666.0429,728.603,776.836,868.5432
2031,75.4649,139.271,175.0301,206.0739,289.6171,329.8778,447.6891,506.0538,556.9316,635.5608,-1.5137,0.0,-0.0,33.3778,197.9519,0.0,0.0,0.0,0.0,18.0421,107.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3778,197.9519,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,136.4719,175.3714,175.4202,0.0,0.0,0.0,88.9405,106.999,107.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.7735,175.3714,175.4202,705.7173,728.2293,728.3039,733.8406,903.672,0.0,0.0,0.0,0.0,0.0,777.877,1049.7615,1161.8931,1607.6334,2887.9286,500.554,639.965,699.4168,745.1671,830.9999
2032,80.7449,148.9839,187.2822,220.4991,309.8903,343.4453,467.7186,530.5188,583.2206,673.3887,-0.0,0.0,-0.0,0.0,197.9534,0.0,0.0,0.0,0.0,0.0,107.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9534,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.3629,175.4027,0.0,0.0,0.0,0.0,106.9938,107.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3629,175.4027,644.7311,667.2669,667.3328,842.6701,842.688,0.0,0.0,0.0,0.0,0.0,805.345,1065.1706,1164.1919,1661.5833,3051.7423,480.936,613.4366,669.5238,712.7315,792.5474
2033,86.3967,159.424,200.3919,235.934,331.5826,357.7818,489.3264,556.4771,608.9978,714.1845,-0.0,0.0,-0.0,0.0,198.1079,0.0,0.0,0.0,0.0,0.0,107.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.1079,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.3668,175.4047,0.0,0.0,0.0,0.0,106.9962,107.0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3668,175.4047,583.5319,606.2797,606.3367,781.704,781.7041,0.0,0.0,0.0,0.0,0.0,873.0176,1099.0511,1202.8887,1681.8039,3174.6582,460.8332,586.083,638.907,679.5102,753.1638
