Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,trader_b_min,trader_b_Q1,trader_b_mean,trader_b_Q3,trader_b_max,trader_g_min,trader_g_Q1,trader_g_mean,trader_g_Q3,trader_g_max,trader_bank_min,trader_bank_Q1,trader_bank_mean,trader_bank_Q3,trader_bank_max,trader_netto_emiss_min,trader_netto_emiss_Q1,trader_netto_emiss_mean,trader_netto_emiss_Q3,trader_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,40.4101,74.0781,94.32705,145.3954,221.6713,240.391,302.67715,340.13745,429.10929999999996,514.358,0.0,0.0,197.94445,197.95105,197.9602,0.0,0.0,0.0,106.99645,107.000225,107.0049,0.0,0.0,0.0003,0.0006,0.0033,0.0,0.0,197.94344999999998,197.9504,197.9592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-165.7684,-114.491075,-12.6783,50.7045,140.1495,0.0,0.0,0.0,0.0,0.0,-165.7684,-114.491075,-12.6783,50.7045,140.1495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0e-5,175.37297499999997,175.373,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,12.2211,0.0,0.0,0.0,175.37297499999997,175.373,1047.8969,1137.343275,1200.7399500000001,1325.11805,1521.6482,0.0,0.0,0.0,0.0,0.0,313.2423,333.73862499999996,360.93045,379.59342499999997,463.8301,584.0667,760.2275999999999,843.07025,992.2489,1133.4571
2025,43.2389,79.26365,100.92994999999999,155.573025,237.1883,248.9373,315.58299999999997,355.66575,449.6066,523.4688,-0.0,0.0,197.94265000000001,197.951525,198.0483,0.0,0.0,0.0,106.9962,107.00095,107.0532,0.0,0.0,0.0001,0.0002,0.0007,0.0,0.0,197.94295,197.95175,198.0485,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195.695,-147.46785,-51.247550000000004,9.806650000000001,112.8647,0.0,0.0,0.0,0.0,0.0,-361.4634,-262.03475000000003,-63.9259,60.511075,253.0142,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,175.373,175.3794,0.0,0.0,0.0,0.0,107.0,107.0039,0.0,0.0,0.0,0.0,4.8187,0.0,0.0,0.0,175.373,175.3794,955.9936,1059.046275,1120.1142,1238.974675,1428.2744,0.0,0.0,0.0,0.0,0.0,569.3442,610.542275,664.7096,701.683975,851.1518,568.672,739.3847000000001,819.55195,963.04855,1097.4019
2026,46.2656,84.81209999999999,107.995,166.463175,253.7915,257.9154,329.226575,372.11485,471.34797499999996,538.2917,0.0,0.0,197.94254999999998,197.950625,198.0037,0.0,0.0,0.0,106.996,107.00035,107.0291,0.0,0.0,0.0001,0.0001,0.0003,0.0,0.0,197.9426,197.950625,198.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-171.5597,-142.432375,-58.5459,0.015900000000000025,134.3529,0.0,0.0,0.0,0.0,0.0,-483.731,-410.43082499999997,-122.47175,60.527049999999996,387.367,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.3729,175.38,0.0,0.0,0.0,0.0,106.9999,107.0043,0.0,0.0,0.0,0.0,13.6687,0.0,0.0,0.0,175.3729,175.38,874.9044,1009.2384249999999,1067.81545,1180.772225,1362.3353,0.0,0.0,0.0,0.0,0.0,826.8183,884.7802,940.2489,995.275575,1173.151,552.9052,718.037125,795.4645,933.141175,1060.4736
2027,49.5042,90.74889999999999,115.55465000000001,178.11554999999998,271.5569,267.3532,343.65614999999997,389.54675,494.416625,569.7926,0.0,0.0,197.93765,197.95057500000001,197.9611,0.0,0.0,0.0,106.99334999999999,107.000225,107.006,0.0,0.0,0.0001,0.0001,0.0062,0.0,0.0,197.9377,197.950375,197.9611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-169.1821,-139.925925,-64.2724,-8.37395,141.4107,0.0,0.0,0.0,0.0,0.0,-652.9131,-550.3172500000001,-186.74415,52.153099999999995,528.7777,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.372825,175.3805,0.0,0.0,0.0,0.0,106.99987499999999,107.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.372825,175.3805,808.2484,958.030175,1013.93845,1120.5815000000002,1293.8663,0.0,0.0,0.0,0.0,0.0,1034.6367,1114.22155,1186.5743,1259.4963500000001,1444.6431,536.7563,696.1726,770.7935,902.5094750000001,1022.651
2028,52.9695,97.101325,123.64235,190.583675,290.5659,277.2794,358.92355,408.16605,518.9014999999999,604.169,0.0,0.0,195.4792,197.94965000000002,197.9638,0.0,0.0,0.0,105.66615,106.99987499999999,107.0075,0.0,0.0,0.0,0.0001,0.0024,0.0,0.0,195.48235,197.949725,197.9638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156.8938,-128.543975,-67.57645,-15.9583,130.5833,0.0,0.0,0.0,0.0,0.0,-768.6355,-671.4593,-258.31515,36.1948,659.361,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,175.37297499999997,175.3821,0.0,0.0,0.0,0.0,106.999975,107.0056,0.0,0.0,0.0,0.0,10.8456,0.0,0.0,0.0,175.37297499999997,175.3821,758.0917,904.630275,955.1188999999999,1057.570275,1221.9975,0.0,0.0,0.0,0.0,0.0,1235.265,1311.168325,1417.36825,1492.6965999999998,1682.5184,520.2164,673.778525,745.5301999999999,871.1359500000001,983.9125
2029,56.6774,103.89845,132.3003,203.92452500000002,310.9055,287.7247,375.083875,427.38779999999997,544.897825,639.5098,0.0,0.0,93.87745,197.950475,197.9817,0.0,0.0,0.0,50.7452,107.000225,107.0172,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,93.87865000000001,197.950475,197.9817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.2589,-86.897775,-60.087199999999996,-21.939025,120.8201,0.0,0.0,0.0,0.0,0.0,-855.4719,-788.378975,-323.6843,14.2557,780.1811,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,162.425575,175.3816,0.0,0.0,0.0,0.0,104.06322499999999,107.0053,0.0,0.0,0.0,0.0,10.3355,0.0,0.0,0.0,170.559575,175.3816,706.871,849.626825,905.12055,992.282825,1147.2322,0.0,0.0,0.0,0.0,0.0,1413.9074,1485.5893500000002,1608.53165,1693.8287750000002,1886.1135,503.2759,650.842125,719.6378500000001,839.0027,944.2359
2030,60.6448,111.17135000000002,141.56375,218.199225,332.6689,298.7218,392.19620000000003,446.91585,562.4688,676.4556,0.0,0.0,5.0e-5,197.949275,197.992,0.0,0.0,0.0,0.0,106.999625,107.0227,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0,5.0e-5,197.949275,197.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.7789,-68.30667500000001,-49.899100000000004,-26.20395,112.5077,0.0,0.0,0.0,0.0,0.0,-960.1837,-849.157325,-383.23524999999995,-11.948225,892.6888,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,121.04910000000001,175.3822,0.0,0.0,0.0,0.0,73.87187499999999,107.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.07602499999999,175.3822,654.1993,792.9076,853.0251,1012.246125,1069.3679,0.0,0.0,0.0,0.0,0.0,1600.5549,1677.0468250000001,1766.6608999999999,1861.747575,2054.3876,485.9252,627.3503499999999,693.1207999999999,806.091275,903.5984
2031,64.8899,118.95327499999999,151.46859999999998,233.47315,355.9557,310.3059,410.3234,467.43335,575.996025,714.7383,0.0,0.0,0.0,197.94805,198.1829,0.0,0.0,0.0,0.0,106.99895000000001,107.1259,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,197.948125,198.1829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.4567,-59.680925,-42.3046,-28.63295,105.7481,0.0,0.0,0.0,0.0,0.0,-1044.6992,-897.1691250000001,-443.80775,-40.581175,998.4369,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,133.977025,175.3829,0.0,0.0,0.0,0.0,80.24482499999999,107.006,0.0,0.0,0.0,0.0,9.823,0.0,0.0,0.0,131.521275,175.3829,599.9751,734.352525,788.88805,941.9167500000001,988.1875,0.0,0.0,0.0,0.0,0.0,1698.0434,1834.47305,1888.6912499999999,1995.2025250000002,2186.2084,468.1543,603.2897,665.9891,772.382875,861.9768
2032,69.4322,127.27992499999999,162.0714,249.81635,380.8726,322.5143,429.53225,489.19489999999996,591.3081,756.1025,0.0,0.0,0.0,197.94595,198.0172,0.0,0.0,0.0,0.0,106.997825,107.0363,0.0,0.0,0.0,0.0001,0.0021,0.0,0.0,0.0,197.94595,198.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.6298,-48.211825000000005,-30.63445,-22.340075,100.6496,0.0,0.0,0.0,0.0,0.0,-1105.4701,-940.771575,-501.10495,-69.681225,1099.0866,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,159.63487500000002,175.3835,0.0,0.0,0.0,0.0,102.07585,107.1639,0.0,0.0,0.0,0.0,9.1222,0.0,0.0,0.0,167.302275,175.6416,544.0896,673.8304249999999,724.62995,868.7987499999999,903.4589,0.0,0.0,0.0,0.0,0.0,1811.6764,1929.3436250000002,1994.7899000000002,2095.100975,2280.345,449.9531,578.646675,638.1827000000001,737.85815,819.3473
2033,74.2925,136.190125,173.4164,267.303475,407.5337,335.3871,449.90042500000004,512.26055,610.126575,797.6491,0.0,0.0,0.0,197.94095,197.9673,0.0,0.0,0.0,0.0,106.99510000000001,107.0094,0.0,0.0,0.0,7.500000000000001e-5,0.0003,0.0,0.0,0.0,197.940925,197.9673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.5889,-34.41275,-19.602899999999998,-10.89025,97.3288,0.0,0.0,0.0,0.0,0.0,-1138.6998,-953.0383750000001,-552.76305,-97.14144999999999,1196.4153,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,173.001875,175.3838,0.0,0.0,0.0,0.0,106.944325,107.0066,0.0,0.0,0.0,0.0,8.4678,0.0,0.0,0.0,175.281775,175.3838,486.4266,611.1064000000001,658.00815,792.6969499999999,814.9337,0.0,0.0,0.0,0.0,0.0,1869.5806,2011.235375,2063.9394,2147.50685,2335.4605,431.3111,553.404375,609.703,702.4973749999999,775.6855
