Y,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,BF-BOF_b_min,BF-BOF_b_Q1,BF-BOF_b_mean,BF-BOF_b_Q3,BF-BOF_b_max,BF-BOF_cap,BF-BOF_g_min,BF-BOF_g_Q1,BF-BOF_g_mean,BF-BOF_g_Q3,BF-BOF_g_max,BF-BOF_bank_min,BF-BOF_bank_Q1,BF-BOF_bank_mean,BF-BOF_bank_Q3,BF-BOF_bank_max,BF-BOF_netto_emiss_min,BF-BOF_netto_emiss_Q1,BF-BOF_netto_emiss_mean,BF-BOF_netto_emiss_Q3,BF-BOF_netto_emiss_max,BF-BlendH2-BOF_b_min,BF-BlendH2-BOF_b_Q1,BF-BlendH2-BOF_b_mean,BF-BlendH2-BOF_b_Q3,BF-BlendH2-BOF_b_max,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g_min,BF-BlendH2-BOF_g_Q1,BF-BlendH2-BOF_g_mean,BF-BlendH2-BOF_g_Q3,BF-BlendH2-BOF_g_max,BF-BlendH2-BOF_bank_min,BF-BlendH2-BOF_bank_Q1,BF-BlendH2-BOF_bank_mean,BF-BlendH2-BOF_bank_Q3,BF-BlendH2-BOF_bank_max,BF-BlendH2-BOF_netto_emiss_min,BF-BlendH2-BOF_netto_emiss_Q1,BF-BlendH2-BOF_netto_emiss_mean,BF-BlendH2-BOF_netto_emiss_Q3,BF-BlendH2-BOF_netto_emiss_max,HDRI-EAF_b_min,HDRI-EAF_b_Q1,HDRI-EAF_b_mean,HDRI-EAF_b_Q3,HDRI-EAF_b_max,HDRI-EAF_cap,HDRI-EAF_g_min,HDRI-EAF_g_Q1,HDRI-EAF_g_mean,HDRI-EAF_g_Q3,HDRI-EAF_g_max,HDRI-EAF_bank_min,HDRI-EAF_bank_Q1,HDRI-EAF_bank_mean,HDRI-EAF_bank_Q3,HDRI-EAF_bank_max,HDRI-EAF_netto_emiss_min,HDRI-EAF_netto_emiss_Q1,HDRI-EAF_netto_emiss_mean,HDRI-EAF_netto_emiss_Q3,HDRI-EAF_netto_emiss_max,BF-BlendNG-BOF_b_min,BF-BlendNG-BOF_b_Q1,BF-BlendNG-BOF_b_mean,BF-BlendNG-BOF_b_Q3,BF-BlendNG-BOF_b_max,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g_min,BF-BlendNG-BOF_g_Q1,BF-BlendNG-BOF_g_mean,BF-BlendNG-BOF_g_Q3,BF-BlendNG-BOF_g_max,BF-BlendNG-BOF_bank_min,BF-BlendNG-BOF_bank_Q1,BF-BlendNG-BOF_bank_mean,BF-BlendNG-BOF_bank_Q3,BF-BlendNG-BOF_bank_max,BF-BlendNG-BOF_netto_emiss_min,BF-BlendNG-BOF_netto_emiss_Q1,BF-BlendNG-BOF_netto_emiss_mean,BF-BlendNG-BOF_netto_emiss_Q3,BF-BlendNG-BOF_netto_emiss_max,fringe_b_min,fringe_b_Q1,fringe_b_mean,fringe_b_Q3,fringe_b_max,fringe_g_min,fringe_g_Q1,fringe_g_mean,fringe_g_Q3,fringe_g_max,fringe_bank_min,fringe_bank_Q1,fringe_bank_mean,fringe_bank_Q3,fringe_bank_max,fringe_netto_emiss_min,fringe_netto_emiss_Q1,fringe_netto_emiss_mean,fringe_netto_emiss_Q3,fringe_netto_emiss_max
2024,39.515,81.37445,103.35985,122.5806,230.8792,238.7102,316.175875,356.853,391.75225,511.1703,0.0,9.4519,197.94920000000002,197.959125,207.0798,0.0,0.0,5.109125,106.9982,107.001575,107.164,0.0,0.0,0.0,0.0001,8.8264,0.0,9.4519,197.9467,197.9529,198.2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.00185,21.71315,175.3876,0.0,0.0,0.0,0.0,0.0,107.0089,0.0,0.0,0.0007,0.001975,25.8409,0.0,0.0,0.0,0.0,175.3875,1154.0313,1187.9712749999999,1188.04895,1209.5324750000002,1386.0,0.0,0.0,0.0,0.0,0.0,132.8152,276.8008,315.9995,397.099375,579.0744,574.9569,790.9481750000001,872.05395,933.7474,1143.7075
2025,42.3073,87.07060000000001,110.5913,131.162825,247.0407,247.2114,330.02577499999995,373.5254,409.59827500000006,541.3043,0.0,0.0,197.13975,197.94920000000002,198.0744,0.0,0.0,0.0,106.9973,107.000275,107.2898,0.0,0.0,0.0,0.0,0.6711,0.0,0.0,197.94505,197.95045,198.4862,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3299,-0.00185,-0.00045,72.28745,175.379,0.0,0.0,0.0,0.0,42.122775,107.0036,0.0,0.0,0.0,0.0,23.1881,0.0,0.0,0.0,69.03915,175.379,1063.2058,1068.8546,1069.0418,1091.4293499999999,1266.804,0.0,0.0,0.0,0.0,0.0,205.479,468.784175,537.47885,696.852375,1098.563,559.5337,769.1034000000001,847.4544,906.9291249999999,1106.9111
2026,45.297,93.165575,118.3265,140.3442,264.3336,256.1471,344.68075,391.2277,428.53905,572.4438,0.0,0.0,197.90215,197.949375,198.0162,0.0,0.0,0.0,106.99535,106.999675,107.0358,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,197.9414,197.949375,198.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5219,0.0,0.0,160.3385,175.3794,0.0,0.0,0.0,0.0,105.32442499999999,107.0039,0.0,0.0,0.0,0.0,13.6662,0.0,0.0,0.0,172.626725,175.3794,998.127,1009.2568000000001,1009.3216,1031.833,1207.206,0.0,0.0,0.0,0.0,0.0,313.533,635.48485,720.2342,959.37935,1574.2848,543.7321,746.728925,822.26355,879.46825,1069.2236
2027,48.4831,99.68717500000001,126.61760000000001,150.1683,282.837,265.4621,360.192225,410.012,448.61105,604.9146,0.0,0.0,93.5977,197.94887500000002,198.0325,0.0,0.0,0.0,50.5934,106.9994,107.0446,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,93.59774999999999,197.94887500000002,198.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.4031,0.0,0.0,175.37282499999998,175.3799,0.0,0.0,0.0,0.0,107.0,107.1625,0.0,0.0,0.0,0.0,9.8156,0.0,0.0,0.0,175.373,175.6393,939.7542,949.65865,965.14245,972.235075,1147.608,0.0,0.0,0.0,0.0,0.0,495.9315,772.2761,886.01515,1185.224225,2004.7019,527.6464,723.812875,796.404,851.3424249999999,1030.6235
2028,51.9013,106.66527500000001,135.48919999999998,160.68005,302.6355,275.3015,376.61705,428.6146,469.889525,638.7507,0.0,0.0,0.0,197.94765,198.0982,0.0,0.0,0.0,0.0,106.998775,107.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.94765,198.0982,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2631,0.0,0.0,175.373,175.3817,0.0,0.0,0.0,0.0,107.0,107.0053,0.0,0.0,0.0,0.0,8.4735,0.0,0.0,0.0,175.373,175.3817,880.2696,888.677175,911.24635,911.2545,1086.624,0.0,0.0,0.0,0.0,0.0,531.6546,877.5924000000001,1030.9168,1373.5560500000001,2387.5287,511.1155,700.342,769.919,822.5354,991.0886
2029,55.4885,114.131825,144.9649,171.92770000000002,323.82,285.5296,394.015825,448.2629,492.45500000000004,673.8587,0.0,0.0,0.0,197.947475,197.9844,0.0,0.0,0.0,0.0,106.9986,107.0186,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,197.947475,197.9844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8.49325,175.373375,175.3848,0.0,0.0,0.0,0.0,107.000225,107.0072,0.0,0.0,0.0,0.0,9.1222,0.0,0.0,0.0,175.373375,175.3848,818.8116,827.692775,850.26065,850.268575,1025.64,0.0,0.0,0.0,0.0,0.0,591.0355,986.2929999999999,1138.3292000000001,1524.9436,2720.5438,494.6371,676.30285,742.86055,793.0308,950.5963
2030,59.3727,122.12095,155.11245000000002,183.96259999999998,346.4874,296.3727,412.45304999999996,469.10815,516.39365,710.7934,-0.0,0.0,-0.0,197.94485,197.9673,0.0,0.0,0.0,0.0,106.997175,107.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.94485,197.9673,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,84.95060000000001,175.37367500000002,175.3852,0.0,0.0,0.0,51.82485,107.00037499999999,107.0075,0.0,0.0,0.0,0.0,8.3293,0.0,0.0,84.94095,175.37367500000002,175.3852,758.3927,766.7116,789.2792,789.291975,964.6568,0.0,0.0,0.0,0.0,0.0,659.4949,1047.935625,1212.50575,1639.965925,3009.7848,477.4725,651.681525,715.11275,762.811725,909.1234
2031,63.5276,130.67125000000001,165.97035,196.839975,370.7415,307.7873,432.00605,491.20175,541.7972500000001,749.7291,-0.0,0.0,-0.0,197.94385,198.0153,0.0,0.0,0.0,0.0,106.996675,107.0353,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,197.94385,198.0153,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,85.4926,175.37477499999997,175.4301,0.0,0.0,0.0,53.49715,107.0013,107.0348,0.0,0.0,0.0,0.0,3.9171,0.0,0.0,87.6818,175.3751,175.4301,701.7925,705.731925,728.29495,728.3174750000001,903.6729,0.0,0.0,0.0,0.0,0.0,731.2976,1067.4178,1254.11845,1719.2306,3255.6239,459.8962,626.45655,686.69305,731.86085,866.6461
2032,67.9739,139.8138,177.58825,210.61882500000002,396.6935,319.8168,452.71502499999997,514.62705,568.764225,790.5494,-0.0,0.0,-0.0,93.40725,197.9539,0.0,0.0,0.0,0.0,50.490375,107.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.407225,197.9539,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,105.7074,175.37487499999997,175.387,0.0,0.0,0.0,64.49504999999999,107.001175,107.0085,0.0,0.0,0.0,0.0,6.8999,0.0,0.0,105.7074,175.37487499999997,175.387,637.8811,656.68505,667.31125,668.5242250000001,842.689,0.0,0.0,0.0,0.0,0.0,848.542,1086.4534749999998,1263.8555000000001,1775.269175,3458.4808,441.8902,600.6464000000001,657.5851,700.1604,823.1403
2033,72.7319,149.603325,190.01945,225.362075,424.462,332.4999,473.23065,539.47295,594.863675,833.3827,-0.0,0.0,-0.0,0.0,197.9544,0.0,0.0,0.0,0.0,0.0,107.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9544,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.25,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,172.64185,175.375325,175.388,0.0,0.0,0.0,106.99645,107.00187499999998,107.1873,0.0,0.0,0.0,0.0,0.3472,0.0,0.0,175.3672,175.37609999999998,175.6799,583.7471,606.313725,606.32825,739.574575,781.705,0.0,0.0,0.0,0.0,0.0,877.4999,1077.34985,1243.95455,1807.4191999999998,3618.793,423.4457,574.1820250000001,627.77225,667.6923750000001,778.5808
